Brand,Model,Mileage,Engine,Fuel,Paint_color,DrivenType,Car_type,Price,Year
BMW,1 Series,25050,100,Petrol,grey,full,convertible,31000,2017
BMW,1 Series,64832,135,Diesel,grey,full,convertible,27500,2017
BMW,1 Series,240788,120,Diesel,grey,full,convertible,5500,2016
BMW,1 Series,124516,125,Petrol,black,rear,convertible,6300,2016
BMW,1 Series,187294,105,Petrol,red,rear,convertible,2400,2016
BMW,1 Series,24452,270,Petrol,grey,rear,convertible,6800,2016
BMW,1 Series,17267,110,Diesel,white,rear,convertible,24200,2016
BMW,1 Series,194192,120,Diesel,beige,rear,convertible,11800,2016
BMW,1 Series,36696,120,Diesel,black,rear,convertible,34300,2016
BMW,X5,270907,236,Petrol,black,rear,convertible,12100,2016
BMW,X5,142483,180,Diesel,blue,rear,convertible,15800,2016
BMW,X5,223269,120,Diesel,blue,rear,convertible,8000,2016
BMW,X5,158805,130,Diesel,black,rear,convertible,9000,2016
BMW,X5,13131,110,Diesel,grey,rear,convertible,24300,2016
BMW,X5,187104,105,Petrol,red,rear,convertible,2600,2016
BMW,X5,20996,135,Petrol,black,rear,coupe,21400,2016
BMW,X5,50222,135,Diesel,grey,rear,coupe,26200,2016
BMW,X5,147180,100,Diesel,black,rear,coupe,8400,2016
BMW,X5,51618,105,Diesel,grey,rear,coupe,17100,2016
BMW,X5,104433,120,Diesel,silver,rear,coupe,7500,2016
BMW,X5,77334,135,Diesel,grey,rear,coupe,23800,2016
BMW,X5,55329,135,Diesel,black,rear,coupe,26500,2016
BMW,X5,14041,140,Diesel,blue,rear,coupe,27700,2016
BMW,X5,78638,160,Diesel,black,rear,coupe,18300,2016
BMW,X5,329173,110,Diesel,silver,rear,coupe,2300,2016
BMW,M235,34082,240,Petrol,grey,rear,coupe,30200,2016
BMW,1 Series,265751,85,Petrol,silver,rear,coupe,1000,2017
BMW,1 Series,181644,135,Diesel,blue,rear,coupe,19000,2017
BMW,1 Series,26062,225,Petrol,blue,rear,coupe,30500,2017
BMW,1 Series,56250,160,Diesel,blue,rear,coupe,28600,2017
BMW,1 Series,45536,250,Petrol,white,rear,coupe,38900,2017
BMW,1 Series,69695,230,Diesel,blue,rear,coupe,36300,2017
BMW,1 Series,61300,135,Diesel,black,rear,coupe,27700,2017
BMW,1 Series,197407,230,Diesel,blue,rear,coupe,32100,2017
BMW,1 Series,93066,135,Diesel,black,rear,coupe,11900,2017
BMW,X5,29925,309,Petrol,silver,rear,coupe,47000,2017
BMW,X5,67403,230,Diesel,black,rear,coupe,55200,2015
BMW,X5,199614,120,Diesel,black,rear,coupe,16100,2015
BMW,X5,27786,140,Diesel,white,rear,coupe,26200,2015
BMW,X5,80165,135,Diesel,white,rear,coupe,19500,2016
BMW,X5,69410,317,Petrol,white,rear,coupe,53600,2016
BMW,X5,170550,309,Petrol,grey,rear,coupe,28000,2017
BMW,X5,42077,135,Diesel,black,rear,coupe,22400,2017
BMW,X5,92527,230,Diesel,blue,rear,coupe,32000,2015
BMW,X5,23949,100,Diesel,blue,rear,coupe,26400,2015
BMW,X5,175311,130,Diesel,black,rear,coupe,8600,2015
BMW,X5,97806,230,Diesel,black,rear,coupe,31500,2015
BMW,X5,141346,230,Diesel,blue,rear,coupe,39900,2015
BMW,X5,220101,130,Diesel,black,rear,coupe,8900,2015
BMW,X5,64386,135,Diesel,grey,rear,coupe,23800,2015
BMW,X5,54993,135,Diesel,black,rear,coupe,18400,2015
BMW,X5,152383,135,Diesel,black,rear,coupe,16900,2015
BMW,X5,69736,240,Petrol,grey,rear,coupe,30000,2015
BMW,X5,202812,130,Diesel,silver,rear,coupe,8200,2015
BMW,X5,69768,230,Diesel,black,rear,coupe,36900,2015
BMW,X5,220296,130,Diesel,black,rear,coupe,7500,2016
BMW,X5,125965,135,Diesel,blue,rear,coupe,23400,2016
BMW,X5,193330,120,Diesel,grey,rear,coupe,23000,2016
BMW,X5,12402,170,hybrid_Petrol,grey,rear,coupe,95200,2016
BMW,X5,147130,135,Diesel,black,rear,coupe,23200,2016
BMW,X5,96260,135,Diesel,white,rear,coupe,25300,2016
BMW,X5,99283,309,Petrol,silver,rear,coupe,28600,2016
BMW,X5,48431,135,Diesel,grey,rear,coupe,27000,2016
BMW,X5,170862,170,Diesel,white,rear,coupe,9200,2016
BMW,X5,100154,135,Diesel,grey,rear,coupe,22500,2017
BMW,X5,187967,120,Petrol,grey,rear,coupe,3100,2017
BMW,530,39228,135,Diesel,grey,rear,coupe,14600,2017
BMW,530,90763,230,Diesel,white,rear,coupe,26100,2017
BMW,530,342768,135,Diesel,black,rear,coupe,8200,2017
BMW,530,188335,130,Diesel,grey,rear,coupe,8700,2017
BMW,530,37619,240,Petrol,black,rear,coupe,27700,2017
BMW,530,107375,135,Diesel,white,rear,coupe,23800,2017
BMW,530,87304,225,Petrol,white,rear,coupe,23500,2015
BMW,530,33947,135,Petrol,grey,rear,coupe,28000,2015
BMW,530,61429,135,Diesel,black,rear,coupe,26800,2015
BMW,530,149943,190,Petrol,black,rear,coupe,10500,2015
BMW,530,36139,230,Diesel,beige,rear,coupe,32100,2015
BMW,Series 5,41353,135,Diesel,black,rear,coupe,22000,2015
BMW,Series 5,121100,230,Diesel,black,rear,coupe,28600,2016
BMW,Series 5,80540,120,Petrol,black,rear,coupe,21800,2016
BMW,Series 5,126685,230,Diesel,black,rear,coupe,36500,2016
BMW,Series 5,12634,142,Diesel,grey,rear,coupe,17800,2016
BMW,Series 5,47902,140,Diesel,black,rear,coupe,30700,2017
BMW,Series 5,63421,230,Diesel,blue,rear,coupe,45800,2017
BMW,Series 5,70880,190,Diesel,blue,rear,coupe,28700,2017
BMW,Series 5,174740,135,Diesel,white,rear,coupe,22400,2017
BMW,Series 5,162327,190,Diesel,black,rear,coupe,23300,2015
BMW,Series 5,45299,120,Diesel,brown,rear,coupe,27600,2015
BMW,Series 5,268780,225,Petrol,white,rear,coupe,12900,2015
BMW,Series 5,61620,120,Diesel,blue,rear,coupe,26800,2015
BMW,Series 5,116134,135,Diesel,grey,rear,coupe,21800,2015
BMW,Series 5,46706,120,Diesel,blue,rear,coupe,24100,2015
BMW,Series 5,260217,120,Diesel,grey,rear,coupe,8500,2015
BMW,Series 5,143853,120,Diesel,black,rear,coupe,17000,2015
BMW,Series 5,65008,140,Diesel,white,rear,coupe,24200,2016
BMW,Series 5,189137,130,Diesel,grey,rear,coupe,8700,2016
BMW,Series 5,140694,120,Diesel,black,rear,coupe,18300,2016
BMW,Series 5,202363,120,Diesel,black,rear,coupe,7600,2016
BMW,Series 5,221500,155,Petrol,grey,rear,coupe,9300,2016
BMW,Series 5,47876,120,Diesel,blue,rear,coupe,25000,2016
BMW,Series 5,224613,130,Diesel,white,rear,coupe,8900,2016
BMW,Series 5,274992,210,Diesel,black,rear,coupe,19000,2016
BMW,Series 5,91931,135,Diesel,black,rear,coupe,12500,2015
BMW,Series 5,23886,110,Diesel,red,,coupe,16700,2015
BMW,Series 5,140464,105,Diesel,blue,,coupe,8900,2015
BMW,Series 5,50421,100,Diesel,grey,,coupe,17100,2015
BMW,Series 5,136545,230,Diesel,black,,coupe,29200,2016
BMW,M3,169970,309,Petrol,grey,,coupe,35700,2016
BMW,,122991,170,Diesel,green,,coupe,11300,2016
BMW,530,102178,120,Petrol,grey,,coupe,10700,2017
BMW,530,173302,210,Diesel,grey,,coupe,19300,2017
BMW,530,202811,120,Diesel,black,,coupe,7700,2017
BMW,530,169722,145,Diesel,grey,,coupe,8300,2015
BMW,530,129338,135,Diesel,blue,,coupe,12800,2015
BMW,530,186950,120,Petrol,grey,,coupe,2700,2015
BMW,530,34463,105,Diesel,blue,,coupe,23800,2015
BMW,530,110818,135,Diesel,black,,coupe,15000,2015
BMW,530,200510,135,Diesel,grey,,coupe,10900,2015
BMW,530,161794,190,Diesel,black,,coupe,23100,2015
BMW,530,227832,120,Diesel,black,,estate,5400,2015
BMW,530,108245,100,Diesel,brown,,estate,11700,2016
BMW,530,221018,135,Diesel,black,,estate,16500,2016
BMW,530,101658,100,Diesel,grey,,estate,11400,2016
BMW,530,163181,120,Diesel,grey,,estate,8200,2016
BMW,530,143180,135,Diesel,black,,estate,13100,2016
BMW,530,146310,85,Diesel,black,,estate,7600,2016
BMW,530,107560,190,Diesel,grey,,estate,14500,2016
BMW,530,78425,100,Diesel,beige,,estate,12700,2016
BMW,530,95078,140,Diesel,black,,estate,21300,2017
BMW,530,246424,120,Diesel,black,,estate,6000,2017
BMW,530,203950,105,Diesel,white,,estate,7900,2017
BMW,530,158002,85,Diesel,white,,estate,8900,2017
BMW,530,193476,105,Diesel,silver,,estate,6500,2017
BMW,530,209208,135,Diesel,black,,estate,800,2017
BMW,530,135119,85,Diesel,white,,estate,10900,2017
BMW,530,199603,120,Diesel,blue,,estate,13100,2017
BMW,530,41142,105,Diesel,blue,full,estate,18200,2015
BMW,530,46738,85,Diesel,black,full,estate,14400,2015
BMW,530,146639,135,Diesel,silver,full,estate,800,2015
BMW,530,159983,85,Diesel,grey,full,estate,800,2015
BMW,530,156627,85,Diesel,blue,full,estate,9000,2016
BMW,530,146338,105,Diesel,black,full,estate,13300,2016
BMW,530,270884,100,Diesel,blue,full,estate,1100,2016
BMW,530,175096,160,Diesel,blue,full,estate,6500,2016
BMW,530,155503,135,Diesel,blue,full,estate,12200,2017
BMW,530,134094,160,Diesel,white,full,estate,15800,2017
BMW,530,156885,100,Diesel,grey,full,estate,10200,2017
BMW,530,302525,100,Diesel,grey,full,estate,1000,2017
BMW,530,181052,120,Diesel,black,full,estate,11500,2015
BMW,530,106054,160,Diesel,black,full,estate,18700,2015
BMW,530,146528,140,Diesel,white,full,estate,18600,2015
BMW,530,183403,135,Diesel,grey,full,estate,11400,2015
BMW,530,130852,85,Diesel,white,full,estate,7700,2015
BMW,530,186697,135,Diesel,white,full,estate,2400,2015
BMW,530,132746,135,Diesel,white,full,estate,11900,2015
BMW,530,101013,120,Diesel,blue,full,estate,800,2015
BMW,530,130019,85,Diesel,white,full,estate,800,2015
BMW,530,90747,160,Diesel,grey,full,estate,11200,2016
BMW,530,145179,85,Diesel,brown,full,estate,9400,2016
BMW,530,87171,135,Diesel,silver,full,estate,18900,2016
BMW,530,110212,135,Diesel,black,full,estate,9000,2017
BMW,530,11917,110,Diesel,white,full,estate,23400,2017
BMW,530,12508,110,Diesel,white,full,estate,23700,2017
BMW,530,149525,190,Diesel,silver,full,estate,15400,2017
BMW,530,122357,105,Diesel,grey,rear,estate,13700,1995
BMW,530,165516,135,Diesel,blue,rear,estate,800,1995
BMW,530,158853,100,Diesel,black,rear,estate,10900,1995
BMW,530,167280,105,Diesel,white,rear,estate,13300,1996
BMW,530,69978,135,Diesel,grey,rear,estate,18000,1996
BMW,530,105105,105,Diesel,white,rear,estate,6000,1997
BMW,530,170164,105,Diesel,grey,rear,estate,800,1997
BMW,530,153585,105,Diesel,white,rear,estate,13600,2014
BMW,530,156127,190,Diesel,black,rear,estate,17800,2015
BMW,530,117722,122,Diesel,black,rear,estate,9200,2016
BMW,530,236095,135,Diesel,blue,rear,estate,6100,2013
BMW,530,142031,85,Diesel,black,rear,estate,13000,2014
BMW,530,150807,105,Diesel,black,rear,estate,11500,2015
BMW,530,185085,105,Diesel,white,rear,estate,9300,2010
BMW,530,163879,120,Diesel,grey,rear,estate,8600,2011
BMW,530,137744,200,Petrol,black,rear,estate,20200,2003
BMW,530,94829,85,Diesel,grey,rear,estate,12600,2015
BMW,530,127461,190,Diesel,silver,rear,estate,800,2016
BMW,530,58673,135,Diesel,grey,rear,estate,18200,2017
BMW,530,183683,135,Diesel,black,rear,estate,1200,2014
BMW,530,153236,135,Diesel,blue,rear,estate,11900,2014
BMW,530,65933,105,Diesel,white,rear,estate,15100,2014
BMW,530,77419,120,Diesel,grey,rear,estate,12000,2014
BMW,530,170322,120,Diesel,black,rear,estate,12700,2015
BMW,530,83133,85,Diesel,white,rear,estate,14300,2015
BMW,530,140324,135,Diesel,silver,rear,estate,7700,2015
BMW,530,147097,105,Diesel,black,rear,estate,800,2015
BMW,530,132871,85,Diesel,grey,rear,estate,4300,2017
BMW,530,109741,100,Diesel,grey,rear,estate,12100,2015
BMW,530,168016,135,Diesel,red,rear,estate,12100,2016
BMW,530,238036,120,Diesel,black,rear,estate,12900,2017
BMW,530,147228,85,Diesel,silver,rear,estate,10600,2017
BMW,530,159659,190,Diesel,black,rear,estate,20200,2001
BMW,530,123340,105,Diesel,brown,rear,estate,14200,2001
BMW,530,168068,100,Diesel,grey,rear,estate,8000,2002
BMW,530,163601,120,Diesel,beige,rear,estate,11700,2006
BMW,530,149108,135,Diesel,white,rear,estate,11300,2006
BMW,530,173446,135,Diesel,black,rear,estate,15600,2016
BMW,530,197516,135,Diesel,black,rear,estate,10100,2017
BMW,530,170832,100,Diesel,blue,rear,estate,10200,2015
BMW,530,149085,135,Diesel,black,rear,estate,14900,2016
BMW,530,255957,230,Diesel,grey,rear,estate,17800,2017
BMW,530,175024,135,Diesel,blue,rear,estate,13700,2015
BMW,530,132731,100,Diesel,grey,rear,estate,12500,2015
BMW,530,214691,120,Diesel,black,rear,estate,5100,2016
BMW,530,177568,120,Diesel,brown,rear,estate,10200,2016
BMW,530,106878,135,Diesel,white,rear,estate,15400,2017
BMW,530,144727,105,Diesel,white,rear,estate,14300,2017
BMW,320 Gran Turismo,46731,140,Diesel,blue,rear,estate,11900,2016
BMW,520,150969,135,Diesel,blue,rear,estate,800,2014
BMW,520,164900,100,Diesel,silver,rear,estate,7300,2015
BMW,520,150002,100,Diesel,red,rear,estate,10700,2016
BMW,520,117872,85,Diesel,black,rear,estate,10400,2015
BMW,520,66314,135,Diesel,white,rear,estate,16100,2015
BMW,520,216114,105,Diesel,blue,rear,estate,9900,2016
BMW,520,159505,100,Diesel,grey,rear,estate,10000,2016
BMW,520,221904,100,Diesel,blue,rear,estate,1200,2017
BMW,520,147243,120,Diesel,blue,rear,estate,16300,2017
BMW,520,140638,160,Diesel,black,rear,estate,17800,2015
BMW,520,123796,135,Diesel,black,rear,estate,15600,2016
BMW,520,201102,85,Diesel,black,rear,estate,8800,2017
BMW,520,238592,90,Diesel,grey,rear,estate,3900,2015
BMW,520,182798,105,Diesel,white,rear,estate,10500,2015
BMW,520,116868,105,Diesel,white,rear,estate,13700,2015
BMW,520,64486,100,Diesel,blue,rear,estate,12400,2016
BMW,520,167013,100,Diesel,black,rear,estate,12400,2017
BMW,520,319724,90,Diesel,grey,rear,estate,3000,2017
BMW,520,103683,120,Diesel,black,rear,estate,10400,2015
BMW,520,73416,120,Diesel,blue,rear,estate,16800,2015
BMW,520,142724,120,Diesel,black,rear,estate,14800,2015
BMW,520,127017,120,Diesel,grey,rear,estate,13100,2015
BMW,520,151391,120,Diesel,grey,rear,estate,15200,2016
BMW,520,88985,135,Diesel,grey,rear,estate,18100,2016
BMW,520,186684,120,Diesel,brown,rear,estate,11400,2016
BMW,520,156756,120,Diesel,black,rear,estate,13700,2016
BMW,520,236259,135,Diesel,blue,rear,estate,6400,2017
BMW,520,233375,135,Diesel,black,rear,estate,9600,2017
BMW,520,195032,100,Diesel,grey,rear,estate,4900,2017
BMW,520,228885,100,Diesel,grey,rear,estate,6000,2017
BMW,520,214613,85,Diesel,white,rear,estate,8200,2015
BMW,520,154190,105,Diesel,black,rear,estate,11300,2015
BMW,520,243093,110,Diesel,grey,rear,estate,1400,2016
BMW,520,79526,105,Diesel,white,rear,estate,14900,2016
BMW,520,169449,135,Diesel,brown,rear,estate,10600,2016
BMW,520,157968,120,Diesel,grey,rear,estate,14200,2017
BMW,520,161034,120,Diesel,black,rear,estate,15000,2017
BMW,520,197704,100,Diesel,brown,rear,estate,9400,2015
BMW,520,83268,85,Diesel,brown,rear,estate,12300,2015
BMW,520,139999,120,Diesel,blue,rear,estate,15000,2015
BMW,520,139649,105,Diesel,white,rear,estate,9900,2015
BMW,520,173160,122,Diesel,grey,rear,estate,13100,2016
BMW,520,80340,100,Diesel,grey,rear,estate,13200,2016
BMW,520,234787,230,Diesel,black,rear,estate,19200,2016
BMW,520,181297,105,Diesel,brown,rear,estate,13200,2016
BMW,520,223829,190,Diesel,black,rear,estate,20600,2017
BMW,520,163675,135,Diesel,brown,rear,estate,14900,2017
BMW,520,110136,120,Diesel,white,rear,estate,17800,2017
BMW,520,230212,150,Diesel,blue,rear,estate,14200,2017
BMW,520,125974,105,Diesel,grey,rear,estate,13800,2015
BMW,520,93866,140,Diesel,black,rear,estate,20300,2016
BMW,520,151555,230,Diesel,blue,rear,estate,22100,2017
BMW,520,132522,140,Diesel,black,rear,estate,20800,2015
BMW,520,150534,135,Diesel,brown,rear,estate,11300,2015
BMW,520,194410,85,Diesel,black,rear,estate,8400,2015
BMW,520,161581,105,Diesel,blue,rear,estate,12900,2016
BMW,520,194748,120,Diesel,black,rear,estate,12000,2016
BMW,520,165274,135,Diesel,silver,rear,estate,16400,2016
BMW,520,188155,135,Diesel,black,rear,estate,14800,2017
BMW,520,130335,135,Diesel,grey,rear,estate,14600,2017
BMW,520,148738,230,Diesel,grey,rear,estate,28800,2017
BMW,520,127511,140,Diesel,black,rear,estate,19900,2015
BMW,520,187176,190,Diesel,black,rear,estate,19800,2016
BMW,520,111523,120,Diesel,black,rear,estate,15600,2017
BMW,520,218341,120,Diesel,grey,rear,estate,5400,2000
BMW,520,172496,190,Diesel,black,rear,estate,20000,2000
BMW,520,149390,135,Diesel,white,rear,estate,11400,2000
BMW,520,171848,120,Diesel,black,rear,estate,12700,2001
BMW,520,180574,135,Diesel,white,rear,estate,14600,2001
BMW,520,243386,105,Diesel,white,rear,estate,7700,2001
BMW,520,123622,190,Diesel,black,rear,estate,25500,2002
BMW,520,94654,135,Diesel,black,rear,estate,17700,2002
BMW,520,164621,190,Diesel,white,rear,estate,25600,2002
BMW,520,86420,160,Diesel,brown,rear,estate,26700,2014
BMW,520,200121,135,Diesel,black,rear,estate,11400,2014
BMW,520,92856,190,Diesel,blue,rear,estate,25600,2014
BMW,520,75373,135,Diesel,blue,rear,estate,19900,2015
BMW,520,152137,135,Diesel,black,rear,estate,11700,2015
BMW,520,165851,105,Diesel,grey,rear,estate,10800,2015
BMW,520,171266,120,Diesel,white,rear,estate,16100,2016
BMW,520,161666,135,Diesel,black,rear,estate,15200,2016
BMW,520,229128,135,Diesel,white,rear,estate,13100,2016
BMW,520,130500,160,Diesel,silver,rear,estate,800,2007
BMW,520,168180,135,Diesel,black,rear,estate,15800,2007
BMW,520,106596,135,Diesel,black,rear,estate,12600,2008
BMW,520,164889,105,Diesel,grey,rear,estate,800,2008
BMW,520,165599,135,Diesel,black,rear,estate,16300,2001
BMW,520,159773,190,Diesel,grey,rear,estate,13700,2002
BMW,520,212710,110,Diesel,black,rear,estate,5000,2003
BMW,520,151246,135,Diesel,silver,rear,estate,13300,2012
BMW,520,84734,85,Diesel,grey,rear,estate,12600,2011
BMW,520,121436,230,Diesel,black,rear,estate,31300,2015
BMW,520,47771,135,Diesel,silver,rear,estate,13100,2011
BMW,520,164998,85,Diesel,black,rear,estate,11100,2012
BMW,520,129901,105,Diesel,blue,rear,estate,800,2012
BMW,520,109391,140,Diesel,grey,rear,estate,25500,2012
BMW,520,185141,105,Diesel,grey,rear,estate,11200,2012
BMW,520,140904,190,Diesel,white,rear,estate,20600,2013
BMW,520,109195,105,Diesel,white,rear,estate,13100,2013
BMW,520,129181,100,Diesel,grey,rear,estate,10600,2013
BMW,520,99600,120,Diesel,blue,rear,estate,14300,2013
BMW,520,75254,120,Diesel,blue,rear,estate,15000,2013
BMW,520,124822,100,Diesel,black,rear,estate,10500,2013
BMW,520,198759,105,Diesel,blue,rear,estate,9400,2013
BMW,520,125928,135,Diesel,silver,rear,estate,13600,2013
BMW,520,95636,105,Diesel,white,rear,estate,14500,2011
BMW,520,121742,135,Diesel,blue,rear,estate,15400,2017
BMW,520,217330,90,Diesel,black,rear,estate,5000,2017
BMW,520,109620,120,Diesel,grey,rear,estate,15400,2017
BMW,520,190639,105,Diesel,brown,rear,estate,9300,2017
BMW,520,136093,135,Diesel,white,rear,estate,13400,2017
BMW,520,146879,85,Diesel,brown,rear,estate,9900,2017
BMW,520,191556,122,Diesel,blue,rear,estate,12600,2017
BMW,520,147891,135,Diesel,black,rear,estate,17100,2017
BMW,520,198084,105,Diesel,blue,rear,estate,9700,2017
BMW,520,80403,140,Diesel,black,rear,estate,20000,2017
BMW,520,106442,135,Diesel,black,rear,estate,17300,2017
BMW,520,123353,135,Diesel,silver,rear,estate,17400,2017
BMW,520,161432,135,Diesel,black,rear,estate,14900,2017
BMW,520,85319,140,Diesel,grey,rear,estate,19300,2017
BMW,520,162550,122,Diesel,black,rear,estate,12100,2017
BMW,520,188982,120,Diesel,black,rear,estate,3800,2017
BMW,520,94987,105,Diesel,white,rear,estate,8600,2017
BMW,520,231261,180,Diesel,black,rear,estate,9500,2016
BMW,520,79964,85,Diesel,white,rear,estate,12900,2016
BMW,520,110913,100,Diesel,grey,rear,estate,15400,2016
BMW,520,181751,122,Diesel,black,rear,estate,12600,2016
BMW,520,102377,135,Diesel,blue,rear,estate,14600,2016
BMW,520,176702,135,Diesel,white,rear,estate,14500,2016
BMW,520,216144,100,Diesel,grey,rear,estate,11800,2016
BMW,520,169410,105,Diesel,white,rear,estate,13000,2016
BMW,520,201782,141,Petrol,blue,rear,estate,6200,2016
BMW,520,116892,105,Diesel,blue,rear,estate,10100,2016
BMW,520,124389,135,Diesel,black,rear,estate,17000,2016
BMW,520,161739,85,Diesel,grey,rear,estate,11000,2016
BMW,520,176557,85,Diesel,black,rear,estate,800,2016
BMW,520,193500,100,Diesel,black,rear,estate,12900,2016
BMW,520,144913,105,Diesel,blue,rear,estate,10200,2016
BMW,520,135491,120,Diesel,black,rear,estate,12600,2016
BMW,520,109600,100,Diesel,white,rear,estate,14900,2016
BMW,520,63604,100,Diesel,brown,rear,estate,9600,2016
BMW,520,119035,135,Diesel,grey,rear,estate,19000,2016
BMW,520,109012,135,Diesel,black,rear,estate,14300,2016
BMW,520,110323,120,Diesel,grey,rear,estate,14900,2016
BMW,520,158577,105,Diesel,black,rear,estate,11400,2016
BMW,520,160015,105,Diesel,black,rear,estate,12700,2016
BMW,520,106206,120,Diesel,blue,rear,estate,11200,2016
BMW,520,160911,135,Diesel,white,rear,estate,13600,2017
BMW,520,165731,155,Diesel,grey,rear,estate,15700,2017
BMW,520,115924,100,Diesel,white,rear,estate,15600,2017
BMW,520,168331,100,Diesel,silver,rear,estate,8000,2017
BMW,520,95534,160,Diesel,black,rear,estate,25200,2017
BMW,520,154178,160,Diesel,grey,rear,estate,15500,2017
BMW,520,120859,105,Diesel,red,rear,estate,11700,2017
BMW,520,121019,120,Diesel,brown,rear,estate,13100,2017
BMW,520,223390,190,Diesel,black,rear,estate,15600,2017
BMW,520,204150,150,Diesel,grey,rear,estate,15700,2017
BMW,520,200444,140,Diesel,black,rear,estate,16200,2015
BMW,520,165271,135,Petrol,black,rear,estate,11900,2015
BMW,520,119760,190,Diesel,black,rear,estate,25800,2015
BMW,520,121960,135,Diesel,silver,rear,estate,15200,2016
BMW,520,85238,105,Diesel,grey,rear,estate,13300,2016
BMW,520,255773,120,Diesel,grey,rear,estate,9900,2017
BMW,520,92526,135,Diesel,brown,rear,estate,15500,2017
BMW,520,160619,85,Diesel,black,rear,estate,11700,2015
BMW,520,165593,190,Diesel,grey,rear,estate,20900,2015
BMW,520,160800,135,Petrol,silver,rear,estate,10100,2015
BMW,520,152360,100,Diesel,grey,rear,estate,11100,2015
BMW,520,189348,230,Diesel,white,rear,estate,23500,2015
BMW,520,119576,85,Diesel,black,rear,estate,13100,2015
BMW,520,131164,190,Diesel,grey,rear,estate,27400,2015
BMW,520,95639,190,Diesel,black,rear,estate,23900,2015
BMW,520,260831,130,Diesel,blue,rear,estate,4500,2015
BMW,520,164633,85,Diesel,black,rear,estate,13700,2015
BMW,520,130433,135,Diesel,black,rear,estate,19000,2015
BMW,520,145903,135,Diesel,white,rear,estate,13800,2015
BMW,520,151490,135,Diesel,black,rear,estate,11700,2016
BMW,520,145918,120,Diesel,grey,rear,estate,10000,2016
BMW,520,134304,120,Diesel,black,rear,estate,15800,2016
BMW,520,271181,100,Diesel,blue,rear,estate,800,2016
BMW,520,72374,85,Diesel,red,rear,estate,9500,2016
BMW,520,113846,135,Diesel,grey,rear,estate,14200,2016
BMW,520,145193,85,Diesel,grey,rear,estate,11100,2016
BMW,520,199053,135,Diesel,white,rear,estate,9800,2016
BMW,520,158801,105,Diesel,black,rear,estate,12300,2016
BMW,520,149229,230,Diesel,blue,rear,estate,24300,2017
BMW,520,189325,100,Diesel,grey,rear,estate,10600,2017
BMW,520,234365,135,Diesel,black,rear,estate,16200,2017
BMW,520,126551,120,Diesel,black,rear,estate,16300,2017
BMW,520,204858,135,Diesel,black,rear,estate,10100,2017
BMW,520,110465,180,Diesel,grey,rear,estate,13700,2017
BMW,520,166404,120,Diesel,grey,rear,estate,11900,2017
BMW,520,189844,173,Diesel,grey,rear,estate,6600,2017
BMW,520,190417,110,Diesel,black,rear,estate,5500,2015
BMW,520,131871,100,Diesel,blue,rear,estate,13800,2015
BMW,520,107042,120,Diesel,black,rear,estate,14200,2015
BMW,520,115533,190,Diesel,black,rear,estate,23200,2015
BMW,520,126591,105,Diesel,black,rear,estate,12100,2015
BMW,520,193673,135,Diesel,silver,full,estate,12800,2015
BMW,520,111622,100,Diesel,black,full,estate,15400,2016
