Brand,Price,Body,Mileage,EngV,EngineType,Registration,Year,Model,Drive
BMW,6400,other,220,2.5,Petrol,yes,1997,5 Series,rear
BMW,28900,sedan,78,2,Petrol,yes,2012,5 Series,rear
BMW,42000,sedan,5,2,Petrol,yes,2016,5 Series,rear
BMW,75555,sedan,30,4.4,Petrol,yes,2014,5 Series,full
BMW,42900,sedan,2,2,Petrol,yes,2016,5 Series,rear
BMW,26999,crossover,180,4.8,Gas,yes,2008,5 Series,full
BMW,6500,sedan,298,2.5,Petrol,yes,1998,5 Series,rear
BMW,2200,sedan,303,2.5,Diesel,no,1999,5 Series,rear
BMW,3100,vagon,1,2,Diesel,no,2002,5 Series,rear
BMW,0,crossover,5,3,Diesel,yes,2016,5 Series,full
BMW,0,sedan,240,2.8,Gas,yes,1997,5 Series,rear
BMW,13700,crossover,270,4.6,Gas,yes,2004,5 Series,full
BMW,2900,vagon,236,2,Diesel,no,2001,5 Series,rear
BMW,10999,sedan,225,3,Diesel,yes,2003,5 Series,rear
BMW,6500,sedan,335,2.8,Petrol,yes,1996,5 Series,rear
BMW,32500,crossover,152,3,Diesel,yes,2008,5 Series,full
BMW,15000,other,205,NA,Petrol,yes,2004,5 Series,rear
BMW,13900,crossover,184,3,Gas,yes,2004,5 Series,full
BMW,11400,sedan,206,3,Petrol,yes,2003,5 Series,rear
BMW,13500,sedan,233,3,Diesel,yes,2003,5 Series,rear
BMW,21500,other,72,3,Petrol,yes,2007,5 Series,rear
BMW,86999,crossover,0,3,Diesel,yes,2016,5 Series,full
BMW,2450,sedan,328,2.5,Diesel,no,1996,5 Series,rear
BMW,17900,other,98,3,Petrol,yes,2007,5 Series,rear
BMW,39600,crossover,98,3,Petrol,yes,2011,5 Series,full
BMW,30500,sedan,630,NA,Petrol,yes,2010,5 Series,rear
BMW,29500,sedan,850,NA,Petrol,yes,2011,5 Series,rear
BMW,33000,sedan,147,3,Diesel,yes,2009,5 Series,rear
BMW,49900,other,82,3,Petrol,yes,2012,5 Series,rear
BMW,16800,crossover,250,3,Diesel,yes,2004,5 Series,full
BMW,23999,crossover,194,3,Petrol,yes,2007,5 Series,full
BMW,1650,sedan,270,1.8,Petrol,no,1995,5 Series,rear
BMW,3150,sedan,200,2,Diesel,no,1999,5 Series,rear
BMW,99999,other,0,3,Petrol,yes,2016,5 Series,full
BMW,16500,other,122,2.2,Petrol,yes,2005,5 Series,rear
BMW,12600,sedan,219,3.6,Petrol,yes,2002,5 Series,rear
BMW,3100,sedan,315,2.5,Diesel,no,1998,5 Series,rear
BMW,20500,crossover,73,2,Petrol,yes,2011,5 Series,rear
BMW,5000,sedan,400,2.5,Petrol,yes,1991,5 Series,rear
BMW,8200,sedan,210,3.5,Petrol,yes,1999,5 Series,rear
BMW,37000,sedan,130,3,Petrol,yes,2011,5 Series,full
BMW,3300,sedan,250,3,Diesel,no,2000,5 Series,rear
BMW,14900,vagon,221,2,Diesel,yes,2008,5 Series,rear
BMW,2550,vagon,312,2.5,Diesel,no,1999,5 Series,rear
BMW,45000,sedan,110,NA,Other,yes,2012,5 Series,full
BMW,26999,sedan,131,2,Diesel,yes,2011,5 Series,rear
BMW,13300,vagon,157,2,Diesel,yes,2007,X5,rear
BMW,3500,sedan,272,2,Diesel,yes,2000,X5,rear
BMW,29500,crossover,189,3,Diesel,yes,2009,X5,full
BMW,39000,crossover,180,3,Diesel,yes,2011,X5,full
BMW,10700,sedan,243,3,Diesel,yes,2002,X5,rear
BMW,31500,crossover,130,3,Diesel,yes,2010,X5,full
BMW,33700,crossover,134,4.4,Petrol,yes,2009,X5,full
BMW,20999,crossover,170,4.8,Petrol,yes,2008,X5,full
BMW,20500,other,114,NA,Other,yes,2008,X5,
BMW,36400,crossover,80,3,Petrol,yes,2011,X5,full
BMW,22700,crossover,216,4.8,Petrol,yes,2007,X5,full
BMW,75000,crossover,16,3,Diesel,yes,2015,X5,full
BMW,3350,vagon,295,2,Diesel,no,2002,X5,rear
BMW,3800,sedan,304,1.9,Gas,no,2000,X5,rear
BMW,4400,sedan,260,2,Gas,yes,1990,X5,rear
BMW,35500,crossover,33,2,Diesel,yes,2014,X5,full
BMW,34900,crossover,117,3,Petrol,yes,2011,X5,full
BMW,25500,sedan,148,3,Diesel,yes,2007,X5,rear
BMW,2222,sedan,268,1.8,Petrol,no,1996,X5,
BMW,29999,sedan,130,NA,Petrol,yes,2009,X5,
BMW,41500,vagon,42,2,Petrol,yes,2012,X5,full
BMW,69500,sedan,62,4.4,Petrol,yes,2013,X5,full
BMW,20900,crossover,230,3,Diesel,yes,2006,X5,full
BMW,60500,sedan,110,3,Diesel,yes,2011,X5,full
BMW,22900,other,25,3,Petrol,yes,2008,X5,rear
BMW,3099,sedan,230,3,Diesel,no,2003,X5,rear
BMW,8300,sedan,200,4.4,Petrol,yes,2001,X5,rear
BMW,2999,sedan,299,NA,Diesel,no,2000,X5,rear
BMW,6100,sedan,266,3.5,Petrol,no,1997,X5,rear
BMW,13900,sedan,262,4,Diesel,yes,2003,X5,rear
BMW,8500,sedan,365,3,Diesel,yes,2001,5 Series,rear
BMW,21900,other,25,2.5,Petrol,yes,2007,5 Series,rear
BMW,6300,sedan,241,2.8,Gas,yes,1995,5 Series,rear
BMW,24000,crossover,108,2,Diesel,yes,2012,5 Series,full
BMW,4500,sedan,370,4,Petrol,yes,1993,5 Series,rear
BMW,77777,sedan,8,4.4,Petrol,yes,2014,5 Series,full
BMW,7200,sedan,270,3,Diesel,no,2004,5 Series,rear
BMW,38888,vagon,5,0.65,Other,yes,2015,5 Series,rear
BMW,6950,sedan,320,4.4,Gas,yes,1997,5 Series,rear
BMW,7200,sedan,255,2.8,Petrol,yes,1998,5 Series,rear
BMW,3099,sedan,320,2,Diesel,no,2000,5 Series,rear
BMW,8899,sedan,170,2.2,Petrol,yes,2001,5 Series,rear
BMW,34400,crossover,37,2,Diesel,yes,2013,5 Series,full
BMW,34500,other,160,3,Diesel,yes,2011,5 Series,full
BMW,14600,sedan,116,2.5,Diesel,yes,2004,5 Series,rear
BMW,4300,sedan,200,2,Diesel,no,2002,5 Series,rear
BMW,29000,sedan,170,2,Diesel,yes,2011,5 Series,rear
BMW,2900,vagon,230,2,Diesel,no,2001,5 Series,rear
BMW,10800,sedan,246,3,Diesel,yes,2003,5 Series,rear
BMW,10900,sedan,245,3,Diesel,yes,2003,5 Series,rear
BMW,49000,sedan,58,4.4,Other,yes,2011,5 Series,rear
BMW,46000,sedan,5,2,Petrol,yes,2016,5 Series,rear
BMW,37000,sedan,95,4.4,Petrol,yes,2011,5 Series,full
BMW,47000,other,5,2,Petrol,yes,2014,5 Series,rear
BMW,4550,sedan,200,2.8,Petrol,no,1997,5 Series,rear
BMW,31800,sedan,115,3,Diesel,yes,2010,5 Series,rear
BMW,17100,crossover,188,3,Diesel,yes,2004,5 Series,full
BMW,15000,sedan,137,2.2,Petrol,yes,2004,5 Series,rear
BMW,41000,crossover,80,3,Petrol,yes,2012,5 Series,full
BMW,69999,crossover,0,2.5,Diesel,yes,2016,5 Series,full
BMW,66666,crossover,0,2,Diesel,yes,2016,5 Series,full
BMW,12950,sedan,268,4,Diesel,yes,2004,5 Series,rear
BMW,56500,crossover,45,3,Diesel,yes,2014,5 Series,full
BMW,52000,crossover,7,2,Diesel,yes,2015,5 Series,full
BMW,16300,crossover,258,4.4,Petrol,yes,2005,5 Series,full
BMW,17500,sedan,102,2,Petrol,yes,2011,5 Series,rear
BMW,6100,sedan,438,2,Gas,yes,1997,5 Series,rear
BMW,16500,crossover,230,3,Gas,yes,2004,5 Series,full
BMW,15000,vagon,245,3,Gas,yes,2006,5 Series,full
BMW,19999,crossover,227,3,Diesel,yes,2006,5 Series,full
BMW,28500,crossover,160,4.8,Gas,yes,2008,5 Series,full
BMW,69999,crossover,1,2,Petrol,yes,2016,5 Series,full
BMW,42000,sedan,59,4.4,Petrol,yes,2009,5 Series,rear
BMW,29999,other,73,2,Petrol,yes,2012,5 Series,rear
BMW,4800,sedan,11,2.5,Diesel,yes,1994,5 Series,rear
BMW,4200,sedan,277,2,Petrol,yes,1991,5 Series,rear
BMW,10800,sedan,288,4.4,Gas,yes,2002,5 Series,rear
BMW,7000,sedan,280,3,Petrol,yes,2001,5 Series,rear
BMW,2250,sedan,350,2.5,Diesel,yes,1998,5 Series,rear
BMW,3900,sedan,380,3,Gas,yes,1989,5 Series,rear
BMW,10000,sedan,274,4.4,Gas,yes,1998,5 Series,rear
BMW,2600,sedan,270,2,Diesel,no,1998,5 Series,rear
BMW,4500,sedan,140,3,Diesel,no,2000,5 Series,rear
BMW,1700,sedan,200,2,Diesel,no,2003,5 Series,rear
BMW,50499,sedan,128,3,Diesel,yes,2013,5 Series,full
BMW,18500,sedan,79,3,Diesel,no,2012,5 Series,rear
BMW,3500,sedan,300,3,Diesel,no,1999,5 Series,rear
BMW,12000,sedan,237,3,Diesel,yes,2003,5 Series,rear
BMW,19990,sedan,1,2,Diesel,yes,2008,5 Series,rear
BMW,3500,sedan,185,2,Diesel,no,2002,5 Series,rear
BMW,9700,sedan,267,2,Diesel,yes,2002,5 Series,rear
BMW,2500,sedan,290,2,Diesel,no,1999,5 Series,front
BMW,7500,sedan,275,2,Gas,yes,1998,5 Series,rear
BMW,4000,sedan,380,2,Petrol,yes,1991,5 Series,rear
BMW,27900,sedan,170,3,Petrol,yes,2011,5 Series,rear
BMW,17900,sedan,69,2,Petrol,yes,2008,5 Series,rear
BMW,2500,sedan,242,3,Diesel,no,2001,5 Series,rear
BMW,12900,sedan,121,2,Petrol,yes,2007,5 Series,rear
BMW,27500,sedan,100,2,Petrol,yes,2012,5 Series,rear
BMW,2899,sedan,260,2,Diesel,no,2000,5 Series,rear
BMW,15500,sedan,216,2,Diesel,yes,2008,5 Series,rear
BMW,13700,sedan,276,3,Diesel,yes,2004,5 Series,rear
BMW,9800,sedan,350,3,Diesel,yes,2001,5 Series,rear
BMW,7000,sedan,286,2.8,Petrol,yes,2001,5 Series,rear
BMW,7000,other,226,2.5,Petrol,yes,1999,5 Series,rear
BMW,2999,sedan,210,2,Other,no,1999,5 Series,rear
BMW,6900,sedan,280,2,Gas,yes,2000,5 Series,rear
BMW,8200,sedan,241,2,Petrol,yes,1998,5 Series,rear
BMW,32500,vagon,65,2,Petrol,yes,2014,5 Series,rear
BMW,19990,other,164,NA,Gas,yes,2004,5 Series,
BMW,47900,crossover,178,4,Diesel,yes,2012,5 Series,
BMW,3500,sedan,334,2,Diesel,no,1999,5 Series,rear
BMW,17500,vagon,125,3,Diesel,yes,2006,5 Series,full
BMW,58000,crossover,64,2,Diesel,yes,2015,5 Series,full
BMW,0,crossover,0,3,Diesel,yes,2016,5 Series,full
BMW,4000,sedan,230,2,Diesel,no,2003,5 Series,rear
BMW,69999,crossover,71,4.4,Petrol,yes,2011,5 Series,full
BMW,12900,vagon,260,3,Diesel,yes,2004,5 Series,rear
BMW,77777,crossover,1,3,Diesel,yes,2014,5 Series,full
BMW,17000,vagon,158,2,Diesel,yes,2010,5 Series,rear
BMW,13700,sedan,254,3,Diesel,yes,2003,5 Series,front
BMW,15300,sedan,250,2.5,Petrol,yes,2006,5 Series,rear
BMW,29500,sedan,230,3,Diesel,yes,2011,5 Series,rear
BMW,16999,vagon,213,3,Diesel,yes,2007,5 Series,full
BMW,11900,sedan,160,2.5,Petrol,yes,2005,5 Series,rear
BMW,6800,crossover,242,99.99,Diesel,no,2005,5 Series,
BMW,13500,crossover,250,3,Diesel,no,2006,5 Series,full
BMW,3200,sedan,237,2.5,Petrol,yes,1990,5 Series,rear
BMW,29900,crossover,182,3,Petrol,yes,2008,5 Series,full
BMW,8999,sedan,221,4.5,Petrol,yes,2002,5 Series,rear
BMW,9400,sedan,221,4.4,Gas,yes,2004,5 Series,rear
BMW,51900,crossover,106,3,Diesel,yes,2012,5 Series,full
BMW,6500,sedan,300,2.8,Gas,yes,1997,5 Series,rear
BMW,18000,sedan,245,2.5,Petrol,yes,2007,5 Series,rear
BMW,86999,crossover,0,3,Diesel,yes,2016,5 Series,full
BMW,62000,crossover,1,2,Diesel,yes,2016,5 Series,full
BMW,8200,sedan,250,4.4,Petrol,yes,1997,5 Series,
BMW,2900,sedan,225,2.5,Petrol,no,1997,5 Series,rear
BMW,67500,crossover,1,2,Diesel,yes,2016,5 Series,full
BMW,2800,sedan,296,3,Diesel,no,2001,5 Series,rear
BMW,26900,sedan,158,5,Petrol,yes,2007,5 Series,rear
BMW,8900,sedan,256,2.2,Petrol,yes,2002,5 Series,
BMW,4999,sedan,256,2.5,Diesel,no,2001,5 Series,rear
BMW,16700,sedan,150,2,Diesel,yes,2008,5 Series,rear
BMW,81000,sedan,23,4.4,Petrol,yes,2014,5 Series,rear
BMW,9500,crossover,110,3,Diesel,no,2008,5 Series,
BMW,13000,sedan,304,4.4,Other,yes,2002,5 Series,
BMW,13999,sedan,265,3,Diesel,yes,2005,5 Series,rear
BMW,8990,other,300,2.2,Petrol,yes,2002,5 Series,rear
BMW,2500,sedan,44,2.5,Diesel,no,1997,5 Series,rear
BMW,3300,sedan,360,2.5,Petrol,yes,1992,5 Series,rear
BMW,5700,sedan,252,2.5,Diesel,yes,1997,5 Series,rear
BMW,0,sedan,259,3,Diesel,yes,2001,5 Series,rear
BMW,4700,sedan,333,3,Petrol,yes,1994,5 Series,rear
BMW,36900,sedan,17,2,Petrol,yes,2013,5 Series,rear
BMW,7000,sedan,227,3,Diesel,no,2004,5 Series,rear
BMW,4599,sedan,267,2,Gas,yes,1991,5 Series,rear
BMW,8200,sedan,368,3,Diesel,yes,2000,5 Series,rear
BMW,32500,other,86,3,Petrol,yes,2010,5 Series,rear
BMW,8900,sedan,250,2.5,Diesel,yes,2001,5 Series,rear
BMW,27800,sedan,170,2,Diesel,yes,2011,5 Series,rear
BMW,10999,sedan,150,2,Gas,yes,2003,5 Series,rear
BMW,24700,vagon,142,2,Diesel,yes,2012,5 Series,rear
BMW,31000,sedan,100,2,Petrol,yes,2012,5 Series,rear
BMW,21600,crossover,200,4.8,Other,yes,2007,5 Series,full
BMW,14200,sedan,263,3,Petrol,yes,2004,5 Series,rear
BMW,30500,hatch,110,4.4,Petrol,yes,2008,5 Series,full
BMW,18400,crossover,256,3,Diesel,yes,2006,5 Series,full
BMW,85555,sedan,10,3,Diesel,yes,2015,5 Series,full
BMW,1950,sedan,162,1.6,Petrol,no,1995,5 Series,rear
BMW,32000,crossover,52,3,Petrol,yes,2012,5 Series,full
BMW,12799,sedan,181,2.2,Gas,yes,2004,5 Series,rear
BMW,44999,crossover,87,3,Diesel,yes,2011,5 Series,full
BMW,15500,sedan,89,2,Diesel,no,2012,5 Series,rear
BMW,3500,vagon,280,3,Diesel,no,2001,5 Series,full
BMW,38000,sedan,74,2,Diesel,yes,2014,5 Series,rear
BMW,34900,crossover,35,3,Petrol,yes,2011,5 Series,full
BMW,6500,sedan,1,3.5,Petrol,yes,1999,5 Series,rear
BMW,25800,crossover,205,3,Diesel,yes,2008,5 Series,full
BMW,57000,crossover,47,3,Diesel,yes,2014,5 Series,full
BMW,39999,sedan,45,3,Petrol,yes,2011,5 Series,full
BMW,77500,crossover,1,3,Petrol,yes,2016,5 Series,full
BMW,25500,crossover,130,3,Gas,yes,2007,5 Series,full
BMW,34500,crossover,85,3,Petrol,yes,2010,5 Series,full
BMW,31111,sedan,117,4.4,Petrol,yes,2010,5 Series,full
BMW,13000,sedan,165,2.2,Gas,yes,2003,5 Series,rear
BMW,7500,sedan,425,NA,Gas,yes,1996,5 Series,rear
BMW,37900,crossover,97,3,Diesel,yes,2010,5 Series,full
BMW,26000,crossover,270,4.8,Petrol,yes,2008,5 Series,full
BMW,35500,sedan,67,3,Petrol,yes,2011,5 Series,rear
BMW,0,crossover,200,3,Diesel,yes,2009,5 Series,full
BMW,37000,crossover,186,5,Petrol,yes,2008,5 Series,full
BMW,3000,sedan,190,2,Petrol,no,2000,5 Series,rear
BMW,1750,vagon,200,2,Petrol,no,2000,5 Series,rear
BMW,75555,sedan,30,4.4,Petrol,yes,2014,5 Series,full
BMW,12000,crossover,218,3,Diesel,no,2006,5 Series,full
BMW,6500,sedan,311,2,Gas,yes,1998,5 Series,rear
BMW,0,crossover,1,3,Diesel,yes,2016,5 Series,full
BMW,36300,crossover,83,3.5,Petrol,yes,2010,5 Series,full
BMW,25800,sedan,203,2,Diesel,yes,2010,5 Series,rear
BMW,5900,vagon,220,2.8,Petrol,yes,1995,5 Series,rear
BMW,7200,sedan,448,3,Petrol,yes,1996,5 Series,rear
BMW,4100,hatch,160,1.6,Petrol,yes,2004,5 Series,
BMW,29900,sedan,175,2,Diesel,yes,2011,5 Series,rear
BMW,12900,sedan,200,2.5,Petrol,yes,2006,5 Series,rear
BMW,8200,sedan,287,2.5,Gas,yes,1999,5 Series,rear
BMW,39500,vagon,93,2,Diesel,yes,2012,5 Series,full
BMW,16500,sedan,150,2.5,Petrol,yes,2005,5 Series,
BMW,2750,vagon,254,2.8,Gas,no,1997,5 Series,rear
BMW,6000,sedan,300,2.8,Petrol,yes,1996,5 Series,rear
BMW,49000,vagon,56,5,Petrol,yes,2007,5 Series,rear
BMW,6800,sedan,4,2.8,Gas,yes,1995,5 Series,rear
BMW,6300,sedan,330,2.5,Petrol,yes,1999,5 Series,rear
BMW,4700,sedan,390,2.5,Petrol,yes,1991,5 Series,rear
BMW,37500,other,45,2,Petrol,yes,2013,5 Series,rear
BMW,6500,vagon,377,2,Gas,yes,1998,5 Series,rear
BMW,3900,sedan,340,2.5,Diesel,no,2000,5 Series,rear
BMW,35500,sedan,235,3,Diesel,yes,2010,5 Series,rear
BMW,7900,sedan,260,3.5,Petrol,yes,1997,5 Series,rear
BMW,9999,sedan,200,1.8,Petrol,yes,2004,5 Series,rear
BMW,4600,sedan,280,3,Other,no,1999,5 Series,rear
BMW,4500,sedan,307,2.5,Petrol,yes,1994,5 Series,rear
BMW,28700,sedan,160,3,Petrol,yes,2011,5 Series,rear
BMW,3700,sedan,231,2.5,Petrol,yes,1990,5 Series,rear
BMW,2990,other,203,2,Petrol,no,2001,5 Series,rear
BMW,1550,sedan,300,NA,Gas,no,1994,5 Series,rear
BMW,77500,crossover,1,3,Petrol,yes,2016,5 Series,
BMW,56500,crossover,1,2,Diesel,yes,2016,5 Series,
BMW,8900,other,253,1.8,Petrol,yes,1995,5 Series,rear
BMW,28700,other,160,3,Petrol,yes,2011,5 Series,rear
BMW,21000,other,130,2.5,Petrol,yes,2006,5 Series,full
BMW,34500,other,160,3,Diesel,yes,2010,5 Series,full
BMW,12300,sedan,140,2,Petrol,yes,2005,5 Series,rear
BMW,57777,other,40,4,Diesel,yes,2012,5 Series,
BMW,38000,crossover,223,3,Diesel,yes,2011,5 Series,full
BMW,7400,sedan,290,3,Petrol,yes,2000,5 Series,rear
BMW,8800,sedan,287,3,Petrol,yes,2001,5 Series,rear
BMW,4500,sedan,300,3,Diesel,yes,2000,5 Series,rear
BMW,0,crossover,5,4.4,Petrol,yes,2015,5 Series,full
BMW,4999,sedan,327,3,Diesel,no,2001,5 Series,rear
BMW,8999,sedan,250,1.9,Petrol,yes,2001,5 Series,rear
BMW,47500,sedan,0,2,Diesel,yes,2016,5 Series,full
BMW,48535.5,crossover,0,2,Diesel,yes,2016,5 Series,full
BMW,43163.25,crossover,0,2,Diesel,yes,2016,5 Series,full
BMW,43719,crossover,0,2,Petrol,yes,2016,5 Series,full
BMW,64500,crossover,1,2,Diesel,yes,2016,5 Series,full
BMW,8000,sedan,194,2,Petrol,yes,1985,5 Series,rear
BMW,8900,sedan,294,2.2,Gas,yes,2000,5 Series,rear
BMW,7300,sedan,350,NA,Petrol,yes,1997,5 Series,rear
BMW,2250,sedan,300,2.5,Petrol,no,1997,5 Series,rear
BMW,0,other,35,3,Petrol,yes,2008,5 Series,rear
BMW,13900,other,80,3,Petrol,yes,2002,5 Series,rear
BMW,65000,crossover,0,2.5,Diesel,yes,2016,5 Series,full
BMW,3650,sedan,300,2,Petrol,yes,1990,5 Series,rear
BMW,53999,sedan,80,2.99,Diesel,yes,2012,5 Series,full
BMW,3800,sedan,100,1.8,Petrol,yes,1992,5 Series,rear
BMW,27800,crossover,140,3,Diesel,yes,2009,5 Series,full
BMW,34900,crossover,65,2,Petrol,yes,2013,5 Series,full
BMW,4500,vagon,360,2,Petrol,yes,1993,5 Series,rear
BMW,28000,other,100,5,Petrol,yes,2005,5 Series,
BMW,32500,sedan,148,3,Petrol,yes,2011,5 Series,rear
BMW,3500,sedan,280,NA,Petrol,no,1996,5 Series,rear
BMW,17500,crossover,210,3,Diesel,yes,2005,5 Series,
BMW,85900,crossover,19,3,Diesel,yes,2015,5 Series,full
BMW,5000,other,300,1.8,Petrol,yes,1994,5 Series,rear
BMW,12090,hatch,145,1.6,Petrol,yes,2010,5 Series,rear
BMW,26500,sedan,70,3,Petrol,yes,2008,5 Series,rear
BMW,139000,crossover,0,4.4,Petrol,yes,2016,5 Series,full
BMW,23500,crossover,74,2,Petrol,yes,2010,5 Series,rear
BMW,0,crossover,4,4.4,Petrol,yes,2016,5 Series,full
BMW,24500,crossover,195,4.8,Petrol,yes,2007,5 Series,full
BMW,66500,crossover,0,2,Other,yes,2016,5 Series,full
BMW,27900,crossover,140,3,Diesel,yes,2009,5 Series,full
BMW,2700,sedan,220,2.5,Petrol,no,2002,5 Series,rear
BMW,8100,sedan,246,3,Diesel,yes,2000,5 Series,rear
BMW,23900,crossover,60,2,Petrol,yes,2013,5 Series,rear
BMW,34900,crossover,110,4.4,Petrol,yes,2010,5 Series,full
BMW,44000,crossover,80,3,Diesel,yes,2012,5 Series,full
BMW,60500,crossover,1,2,Diesel,yes,2016,5 Series,full
BMW,8900,sedan,250,2.5,Petrol,yes,2000,5 Series,rear
BMW,45000,sedan,29,2,Diesel,yes,2016,5 Series,rear
BMW,25000,crossover,130,3,Diesel,yes,2012,5 Series,full
BMW,45500,other,26,2,Diesel,yes,2015,5 Series,rear
BMW,9500,sedan,400,3.5,Gas,yes,1999,5 Series,rear
BMW,14990,sedan,135,2.5,Petrol,yes,2005,5 Series,full
BMW,0,crossover,15,4.39,Petrol,yes,2015,5 Series,full
BMW,14000,crossover,164,3,Diesel,no,2006,5 Series,full
BMW,67431,crossover,0,2,Diesel,yes,2016,5 Series,full
BMW,40755,sedan,0,2,Petrol,yes,2016,5 Series,rear
BMW,37976.25,sedan,0,2,Petrol,yes,2016,5 Series,rear
BMW,65393.25,crossover,0,2,Diesel,yes,2016,5 Series,full
BMW,70000,sedan,16,3,Diesel,yes,2014,5 Series,full
BMW,1900,sedan,200,1.8,Gas,no,1994,5 Series,rear
BMW,9500,sedan,217,2.2,Petrol,yes,2002,5 Series,rear
BMW,3900,sedan,330,3,Diesel,no,2000,5 Series,rear
BMW,5300,sedan,147,2.2,Gas,no,2001,5 Series,rear
BMW,0,crossover,16,NA,Other,yes,2016,5 Series,
BMW,0,sedan,1,3,Petrol,yes,2010,5 Series,rear
BMW,10999,other,162,2.2,Petrol,yes,2002,5 Series,rear
BMW,24700,other,85,4.4,Petrol,yes,2004,5 Series,rear
BMW,75555,sedan,30,4.4,Petrol,yes,2014,5 Series,full
BMW,37500,crossover,115,3,Diesel,yes,2008,5 Series,full
BMW,6500,sedan,280,2,Petrol,yes,1997,5 Series,rear
BMW,6899,vagon,320,2.8,Gas,yes,1997,5 Series,rear
BMW,21700,crossover,125,3,Petrol,yes,2007,5 Series,full
BMW,6900,sedan,238,3.5,Petrol,yes,1999,5 Series,rear
BMW,4100,sedan,26,3,Diesel,no,2001,5 Series,rear
BMW,14200,sedan,135,3,Gas,yes,2004,5 Series,rear
BMW,3300,sedan,233,28,Petrol,no,1997,5 Series,rear
BMW,42900,sedan,2,2,Petrol,yes,2016,5 Series,rear
BMW,7000,sedan,400,2.8,Petrol,yes,1998,5 Series,rear
BMW,48550,other,147,4,Diesel,yes,2012,5 Series,full
BMW,5400,sedan,404,2.5,Petrol,yes,1992,5 Series,rear
BMW,27500,sedan,170,2,Diesel,yes,2011,5 Series,rear
BMW,8800,crossover,284,3,Diesel,no,2004,5 Series,full
BMW,4500,sedan,28,1.9,Petrol,yes,1995,5 Series,
BMW,3800,sedan,250,3,Diesel,no,2002,5 Series,rear
BMW,12200,sedan,239,3,Diesel,yes,2001,5 Series,rear
BMW,4500,sedan,230,4,Gas,yes,1994,5 Series,rear
BMW,2300,sedan,189,1.8,Petrol,no,2002,5 Series,rear
BMW,14500,sedan,215,NA,Petrol,yes,2006,5 Series,full
BMW,20500,crossover,285,4.8,Petrol,yes,2006,5 Series,full
BMW,3999,sedan,250,3,Diesel,no,2000,5 Series,rear
BMW,5000,other,75,1.9,Petrol,no,1998,5 Series,rear
BMW,25000,crossover,150,30,Petrol,yes,2007,5 Series,full
