Posting Type,# Of Positions,Business Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit
Internal,1,"CERTIFIED IT ADMINISTRATOR (LAN/WAN), LEVEL 4",Information Technology & Telecommunications,F,87203,131623,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
External,1,"CERTIFIED IT ADMINISTRATOR (LAN/WAN), LEVEL 4",Information Technology & Telecommunications,F,87203,131623,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,1,Business and Data Analyst Manager,"Finance, Accounting, & Procurement",F,63817,95022,Annual,"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ
External,1,Business and Data Analyst Manager,"Finance, Accounting, & Procurement",F,63817,95022,Annual,"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ
External,1,CERTIFIED IT ADMINISTRATOR (LAN/WAN),Information Technology & Telecommunications,F,72260,98163,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,1,CERTIFIED IT ADMINISTRATOR (LAN/WAN),Information Technology & Telecommunications,F,72260,98163,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
External,1,"Pest Control Aide, Bureau of Veterinary and Pest Control Services","Public Safety, Inspections, & Enforcement",F,26457,32665,Annual,"158 E 115Th St., N.Y.",Pest Control Services
Internal,1,"Pest Control Aide, Bureau of Veterinary and Pest Control Services","Public Safety, Inspections, & Enforcement",F,26457,32665,Annual,"158 E 115Th St., N.Y.",Pest Control Services
External,1,Law Student,Legal,F,35213,40495,Annual,OCSE Central Court Svcs,Family Court: New York
Internal,1,Law Student,Legal,F,35213,40495,Annual,OCSE Central Court Svcs,Family Court: New York
External,1,Deputy Budget Director,"Finance, Accounting, & Procurement",,58675,156793,Annual,"150 William Street, New York N",Dpty Comm Fnancl Svcs-Finance
Internal,1,Deputy Budget Director,"Finance, Accounting, & Procurement",,58675,156793,Annual,"150 William Street, New York N",Dpty Comm Fnancl Svcs-Finance
External,1,Senior Budget Analyst,"Finance, Accounting, & Procurement",F,63817,95022,Annual,"150 William Street, New York N",Dpty Comm Fnancl Svcs-Finance
Internal,1,Senior Budget Analyst,"Finance, Accounting, & Procurement",F,63817,95022,Annual,"150 William Street, New York N",Dpty Comm Fnancl Svcs-Finance
External,1,Trauma-Informed Early Care and Education Case Supervisor,Social Services,F,60049,82455,Annual,"66 John Street, New York, Ny",Headstart (ECE)
Internal,1,Trauma-Informed Early Care and Education Case Supervisor,Social Services,F,60049,82455,Annual,"66 John Street, New York, Ny",Headstart (ECE)
Internal,1,APA Foster Care Program Evaluator,Policy & Analysis Social Services,F,60049,89008,Annual,"150 William Street, New York N",Agy Program Assistance (DPPM)
External,1,APA Foster Care Program Evaluator,Policy & Analysis Social Services,F,60049,89008,Annual,"150 William Street, New York N",Agy Program Assistance (DPPM)
External,1,Child Welfare Trainer,Community & Business Services Social Services,F,48895,75900,Annual,"492 First Avenue, New York, Ny",Satterwhite Academy (DPPM)
Internal,1,Child Welfare Trainer,Community & Business Services Social Services,F,48895,75900,Annual,"492 First Avenue, New York, Ny",Satterwhite Academy (DPPM)
External,1,Child Welfare Analyst,Information Technology & Telecommunications Policy & Analysis Social Services,F,68239,85644,Annual,"150 William Street, New York N",SRM: Elig/Rpt/Sys Spprt-P&P
Internal,1,Child Welfare Analyst,Information Technology & Telecommunications Policy & Analysis Social Services,F,68239,85644,Annual,"150 William Street, New York N",SRM: Elig/Rpt/Sys Spprt-P&P
Internal,1,Asset Management Specialist,Social Services,F,46405,67568,Annual,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt"
External,1,Asset Management Specialist,Social Services,F,46405,67568,Annual,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt"
External,1,Directory Services Support,Information Technology & Telecommunications,F,60189,83440,Annual,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt"
Internal,1,Directory Services Support,Information Technology & Telecommunications,F,60189,83440,Annual,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt"
External,8,"CATCH School Nurse,  Bureau of School Health/SH Reproductive Health",Health,P,32.11,36.93,Hourly,R E DEV FOR Preservation,SH Reproductive Health
Internal,8,"CATCH School Nurse,  Bureau of School Health/SH Reproductive Health",Health,P,32.11,36.93,Hourly,R E DEV FOR Preservation,SH Reproductive Health
Internal,1,IP Telephony Design Engineer,Information Technology & Telecommunications,,87203,125000,Annual,2 Metro Tech,Public Safety IT Services
Internal,2,Policy Writer,Legal Policy & Analysis,F,57005,87027,Annual,"150 William Street, New York N",Strategic Resource Mgt-P&P
External,2,Policy Writer,Legal Policy & Analysis,F,57005,87027,Annual,"150 William Street, New York N",Strategic Resource Mgt-P&P
Internal,1,Supervising Budget Analyst Early Care &Education,"Finance, Accounting, & Procurement",F,61031,95022,Annual,"150 William Street, New York N",Dpty Comm Fnancl Svcs-Finance
External,1,Supervising Budget Analyst Early Care &Education,"Finance, Accounting, & Procurement",F,61031,95022,Annual,"150 William Street, New York N",Dpty Comm Fnancl Svcs-Finance
Internal,3,Civilian Investigator,"Public Safety, Inspections, & Enforcement",F,37492,59863,Annual,"1 Police Plaza, N.Y.",Personnel Bureau/Civ & Cad
Internal,3,Claim Specialist,Clerical & Administrative Support Legal,F,37492,59863,Annual,55 Water St Ny Ny,Litigation Support
Internal,3,Claim Specialist,Clerical & Administrative Support Legal,F,37492,59863,Annual,55 Water St Ny Ny,Litigation Support
Internal,1,Principal Administrative Associate I,Clerical & Administrative Support,,42856,62779,Annual,34-02 Queens Boulevard Long Is,Tf. Eng./Elect Shop
External,1,Principal Administrative Associate I,Clerical & Administrative Support,,42856,62779,Annual,34-02 Queens Boulevard Long Is,Tf. Eng./Elect Shop
Internal,1,Senior Windows Administrator,Information Technology & Telecommunications,F,77157,99406,Annual,"100 Church St., N.Y.",Information Technology
Internal,1,Investigator,"Public Safety, Inspections, & Enforcement",F,37492,59863,Annual,55 Water St Ny Ny,Facilities Maintenance
Internal,1,Investigator,"Public Safety, Inspections, & Enforcement",F,37492,59863,Annual,55 Water St Ny Ny,Facilities Maintenance
Internal,1,Admin Engineer (NM),"Engineering, Architecture, & Planning",F,48535,132061,Annual,55 Water St Ny Ny,Preventive Maintenance
External,1,Admin Engineer (NM),"Engineering, Architecture, & Planning",F,48535,132061,Annual,55 Water St Ny Ny,Preventive Maintenance
External,2,Juvenile Justice Trainer,Social Services,F,53051,145991,Annual,"492 First Avenue, New York, Ny",Satterwhite Academy (DPPM)
Internal,2,Juvenile Justice Trainer,Social Services,F,53051,145991,Annual,"492 First Avenue, New York, Ny",Satterwhite Academy (DPPM)
External,1,IT Infrastructure Project Manager,Information Technology & Telecommunications,,74066,92308,Annual,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt"
Internal,1,IT Infrastructure Project Manager,Information Technology & Telecommunications,,74066,92308,Annual,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt"
Internal,1,Staff Analyst 2,"Finance, Accounting, & Procurement",F,56458,72310,Annual,55 Water St Ny Ny,Bureau of Bridges Exec Hdqtr
External,1,Compliance Review Unit Supervisor,"Finance, Accounting, & Procurement",F,63817,95022,Annual,"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ
Internal,1,Compliance Review Unit Supervisor,"Finance, Accounting, & Procurement",F,63817,95022,Annual,"150 William Street, New York N",Asst Comm Bdgt & Clmng-Financ
Internal,1,Budget Analyst,"Finance, Accounting, & Procurement Policy & Analysis",F,56458,64927,Annual,59-17 Junction Blvd Corona Ny,Administration/P S Budget
Internal,2,MECHANICAL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,52000,52000,Annual,59-17 Junction Blvd Corona Ny,Central Brookly City Operation
External,2,MECHANICAL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,52000,52000,Annual,59-17 Junction Blvd Corona Ny,Central Brookly City Operation
Internal,1,Office Manager,Clerical & Administrative Support,F,32888,53281,Annual,198 E 161st Street,Tort: Bronx
External,1,Senior Windows Administrator,Information Technology & Telecommunications,F,64807,90202,Annual,"100 Church St., N.Y.",Information Technology
Internal,1,Senior Windows Administrator,Information Technology & Telecommunications,F,64807,90202,Annual,"100 Church St., N.Y.",Information Technology
External,1,Computer Associate,Information Technology & Telecommunications,F,60189,83440,Annual,"100 Church St., N.Y.",Information Technology
Internal,1,Computer Associate,Information Technology & Telecommunications,F,60189,83440,Annual,"100 Church St., N.Y.",Information Technology
External,1,Mechanical Engineer,"Engineering, Architecture, & Planning",F,72805,101148,Annual,96-05 Horace Harding Expway,Mechanical Engineering - IFA
Internal,1,Mechanical Engineer,"Engineering, Architecture, & Planning",F,72805,101148,Annual,96-05 Horace Harding Expway,Mechanical Engineering - IFA
Internal,1,Paralegal Assistant Supervisor,Administration & Human Resources Legal Affairs,F,39041,54633,Annual,"100 Church St., N.Y.",Labor & Employment Law Div F
External,1,Retrofit Accelerator Outreach and Marketing Coordinator,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,48895,75900,Annual,253 Broadway New York Ny,NYSERDA Grant
Internal,1,Retrofit Accelerator Outreach and Marketing Coordinator,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,48895,75900,Annual,253 Broadway New York Ny,NYSERDA Grant
Internal,4,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,51586,77404,Annual,59-17 Junction Blvd Corona Ny,Sewer Analysis - T/L
External,4,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,51586,77404,Annual,59-17 Junction Blvd Corona Ny,Sewer Analysis - T/L
External,1,Machinist,Building Operations & Maintenance,F,35.95,35.95,Hourly,"465 Columbus Ave. Valhalla, Ny",Dept of Environment Protection
Internal,1,Machinist,Building Operations & Maintenance,F,35.95,35.95,Hourly,"465 Columbus Ave. Valhalla, Ny",Dept of Environment Protection
External,1,Electrical Engineer 3,"Engineering, Architecture, & Planning",F,81443,110413,Annual,96-05 Horace Harding Expway,Electrical Engineering - IFA
Internal,1,Electrical Engineer 3,"Engineering, Architecture, & Planning",F,81443,110413,Annual,96-05 Horace Harding Expway,Electrical Engineering - IFA
Internal,1,Civil Engineer 2,"Engineering, Architecture, & Planning",F,72805,101148,Annual,96-05 Horace Harding Expway,Structural Engineering - IFA
External,1,Civil Engineer 2,"Engineering, Architecture, & Planning",F,72805,101148,Annual,96-05 Horace Harding Expway,Structural Engineering - IFA
Internal,1,"Instructor, Division of Environmental Health, Bureau of Environmental Administration (Health Academy)",Health,F,54457,84641,Annual,"600 W 168Th St., N.Y.",Health Academy
External,2,Associate Public Health Sanitarian 2,Health,F,60673,91795,Annual,96-05 Horace Harding Expway,Environmental Health/Safety
Internal,2,Associate Public Health Sanitarian 2,Health,F,60673,91795,Annual,96-05 Horace Harding Expway,Environmental Health/Safety
External,1,Senior Port Engineer,"Engineering, Architecture, & Planning Building Operations & Maintenance",F,60435,135000,Annual,"1 Bay St., S.I.,Ny",F&Ga Admin-St George
Internal,1,Senior Port Engineer,"Engineering, Architecture, & Planning Building Operations & Maintenance",F,60435,135000,Annual,"1 Bay St., S.I.,Ny",F&Ga Admin-St George
Internal,1,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",,79471,102388,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
External,1,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",,79471,102388,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,2,Senior Project Manager,"Policy, Research & Analysis",F,49990,80000,Annual,253 Broadway New York Ny,LongTerm Planning&Sustainablty
External,2,Senior Project Manager,"Policy, Research & Analysis",F,49990,80000,Annual,253 Broadway New York Ny,LongTerm Planning&Sustainablty
External,1,Assistant Civil Engineer,"Engineering, Architecture, & Planning",F,53134,79726,Annual,96-05 Horace Harding Expway,Construction/Administration
Internal,1,Assistant Civil Engineer,"Engineering, Architecture, & Planning",F,53134,79726,Annual,96-05 Horace Harding Expway,Construction/Administration
Internal,1,Student Legal Specialist,Communications & Intergovernmental Affairs,F,36270,41710,Annual,"100 Church St., N.Y.",Executive
External,1,Student Legal Specialist,Communications & Intergovernmental Affairs,F,36270,41710,Annual,"100 Church St., N.Y.",Executive
External,1,COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation",F,54643,150371,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
Internal,1,COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation",F,54643,150371,Annual,"335 Adams Street, Brooklyn Ny",Executive Management
External,3,SUPERVISOR OF STOCK WORKERS I,Building Operations & Maintenance,,35951,55526,Annual,"1201 Metropolitan Ave, Bklyn",Water Supply Gen Storehouse #1
Internal,3,SUPERVISOR OF STOCK WORKERS I,Building Operations & Maintenance,,35951,55526,Annual,"1201 Metropolitan Ave, Bklyn",Water Supply Gen Storehouse #1
Internal,1,Engineer In Charge of Pumping,"Engineering, Architecture, & Planning",F,100000,125000,Annual,59-17 Junction Blvd Corona Ny,System Operations Management
External,1,Engineer In Charge of Pumping,"Engineering, Architecture, & Planning",F,100000,125000,Annual,59-17 Junction Blvd Corona Ny,System Operations Management
Internal,1,F/T Computer Aide,"Technology, Data & Innovation",F,38157,49394,Annual,"100 Church St., N.Y.",Information Technology
External,1,"Accountable Manager, CSO LTCP Program","Engineering, Architecture, & Planning",F,48535,134433,Annual,96-05 Horace Harding Expway,Office of Agency Chief Engnr
Internal,1,"Accountable Manager, CSO LTCP Program","Engineering, Architecture, & Planning",F,48535,134433,Annual,96-05 Horace Harding Expway,Office of Agency Chief Engnr
Internal,1,Human Resources Administrative Assistant,Administration & Human Resources,F,30580,35098,Annual,420 East 26Th St Ny Ny,SH Administration
Internal,1,Human Resources Administrative Assistant,Administration & Human Resources,F,30580,35098,Annual,420 East 26Th St Ny Ny,SH Administration
External,4,Waterfront Facilities Engineer,"Engineering, Architecture, & Planning",F,48535,105000,Annual,55 Water St Ny Ny,Ferry Engineering
Internal,4,Waterfront Facilities Engineer,"Engineering, Architecture, & Planning",F,48535,105000,Annual,55 Water St Ny Ny,Ferry Engineering
Internal,2,Director of Child Protective Audits,Social Services,F,60435,103044,Annual,"150 William Street, New York N",Quality Improvement (Qa)
Internal,4,Supervisor/Auditors of Accountability and Audit Unit,Social Services,F,54643,94478,Annual,"150 William Street, New York N",Quality Improvement (Qa)
Internal,1,Electrical Engineer 1,"Engineering, Architecture, & Planning",F,63074,91347,Annual,96-05 Horace Harding Expway,Electrical Engineering - IFA
External,1,Electrical Engineer 1,"Engineering, Architecture, & Planning",F,63074,91347,Annual,96-05 Horace Harding Expway,Electrical Engineering - IFA
External,1,MECHANICAL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,52000,52000,Annual,59-17 Junction Blvd Corona Ny,Sys Operations-Bx Mgmt Eng
Internal,1,MECHANICAL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,52000,52000,Annual,59-17 Junction Blvd Corona Ny,Sys Operations-Bx Mgmt Eng
Internal,1,"Quality Assurance Manager, Crime Scene Unit, M-II","Public Safety, Inspections, & Enforcement",F,60435,161497,Annual,150-14 Jamaica Ave,Forensic Invest Div/Civ & Cade
External,1,"Quality Assurance Manager, Crime Scene Unit, M-II","Public Safety, Inspections, & Enforcement",F,60435,161497,Annual,150-14 Jamaica Ave,Forensic Invest Div/Civ & Cade
Internal,1,"Accountable Project Manager,  Stormwater MS4 Evaluation and Alternatives","Engineering, Architecture, & Planning",P,48535,134433,Annual,96-05 Horace Harding Expway,Office of Agency Chief Engnr
External,1,"Accountable Project Manager,  Stormwater MS4 Evaluation and Alternatives","Engineering, Architecture, & Planning",P,48535,134433,Annual,96-05 Horace Harding Expway,Office of Agency Chief Engnr
Internal,1,"Engineer In Charge, Linear Capital Program Management","Engineering, Architecture, & Planning",F,105000,105000,Annual,59-17 Junction Blvd Corona Ny,JOCS- IFA
External,1,"Engineer In Charge, Linear Capital Program Management","Engineering, Architecture, & Planning",F,105000,105000,Annual,59-17 Junction Blvd Corona Ny,JOCS- IFA
Internal,1,ASSOCIATE PUBLIC HEALTH SANITARIAN II,"Public Safety, Inspections, & Enforcement",F,60673,91795,Annual,96-05 Horace Harding Expway,Environmental Health Safety
External,1,ASSOCIATE PUBLIC HEALTH SANITARIAN II,"Public Safety, Inspections, & Enforcement",F,60673,91795,Annual,96-05 Horace Harding Expway,Environmental Health Safety
Internal,2,Resiliency Engineer,"Engineering, Architecture, & Planning",F,85000,105000,Annual,55 Water St Ny Ny,Ferry Engineering
External,2,Resiliency Engineer,"Engineering, Architecture, & Planning",F,85000,105000,Annual,55 Water St Ny Ny,Ferry Engineering
Internal,1,"Supervisor, EHS Facility Compliance â€“ Downstate Division","Public Safety, Inspections, & Enforcement",F,66390,97379,Annual,"3701 Jerome Ave, Bx NY 10467",Croton Filtration Plant
External,1,"Supervisor, EHS Facility Compliance â€“ Downstate Division","Public Safety, Inspections, & Enforcement",F,66390,97379,Annual,"3701 Jerome Ave, Bx NY 10467",Croton Filtration Plant
Internal,1,Chief of Staff,"Policy, Research & Analysis",F,48535,134433,Annual,96-05 Horace Harding Expway,WSO-Excecutive Support Divisio
External,1,Chief of Staff,"Policy, Research & Analysis",F,48535,134433,Annual,96-05 Horace Harding Expway,WSO-Excecutive Support Divisio
External,1,"Director, Capital Budget","Finance, Accounting, & Procurement Policy, Research & Analysis",,105000,125000,Annual,59-17 Junction Blvd Corona Ny,Capital Budget Management
Internal,1,"Director, Capital Budget","Finance, Accounting, & Procurement Policy, Research & Analysis",,105000,125000,Annual,59-17 Junction Blvd Corona Ny,Capital Budget Management
Internal,1,"Chief, Contract Support Unit","Engineering, Architecture, & Planning",P,60435,161497,Annual,59-17 Junction Blvd Corona Ny,Sewer Analysis - T/L
External,1,"Chief, Contract Support Unit","Engineering, Architecture, & Planning",P,60435,161497,Annual,59-17 Junction Blvd Corona Ny,Sewer Analysis - T/L
Internal,1,Administrative Engineer,"Engineering, Architecture, & Planning",F,90000,105000,Annual,16 Little Hollow Road,Rondout Neversink Sec Del Up
External,1,Administrative Engineer,"Engineering, Architecture, & Planning",F,90000,105000,Annual,16 Little Hollow Road,Rondout Neversink Sec Del Up
Internal,1,STAFF ANALYST II,"Policy, Research & Analysis",F,56458,72310,Annual,59-17 Junction Blvd Corona Ny,JOCS- IFA
External,1,STAFF ANALYST II,"Policy, Research & Analysis",F,56458,72310,Annual,59-17 Junction Blvd Corona Ny,JOCS- IFA
Internal,1,Clerical Supervisor (JD),Administration & Human Resources,F,33875,54879,Annual,OCSE Central Court Svcs,Family Court: New York
Internal,2,Watershed Maintainer,Building Operations & Maintenance,F,38197,55870,Annual,"10 Walker Rd, Valhalla NY10595",Catskill/Delaware UV Plant
External,2,Watershed Maintainer,Building Operations & Maintenance,F,38197,55870,Annual,"10 Walker Rd, Valhalla NY10595",Catskill/Delaware UV Plant
Internal,1,Environmental Health & Safety Auditor,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,78630,103332,Annual,59-17 Junction Blvd Corona Ny,Dept of Environment Protection
External,1,Environmental Health & Safety Auditor,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,78630,103332,Annual,59-17 Junction Blvd Corona Ny,Dept of Environment Protection
Internal,1,Clerical Associate 3,"Public Safety, Inspections, & Enforcement",F,33875,54879,Annual,55 Water St Ny Ny,Permit Management
Internal,1,Clerical Associate 3,"Public Safety, Inspections, & Enforcement",F,33875,54879,Annual,55 Water St Ny Ny,Permit Management
