Brand ,Model,Milage ,Year,Engine HP,Engine Tank,Transmission Type,Driven Mode,Number of Doors,highway MPG,city mpg,Popularity,Price
BMW,2 Series,2,2017,248,4,AUTOMATIC,rear,2,34,23,3916,38950
BMW,2 Series,170,2017,248,4,AUTOMATIC,rear,2,35,24,3916,33150
BMW,2 Series,8,2017,248,4,AUTOMATIC,full,2,33,24,3916,35150
BMW,2 Series,73,2017,248,4,AUTOMATIC,full,2,33,23,3916,40950
BMW,3 Series,17,2015,241,4,AUTOMATIC,full,4,33,22,3916,41950
BMW,3 Series,284,2015,335,6,AUTOMATIC,rear,4,33,25,3916,50150
BMW,3 Series,280,2015,240,4,AUTOMATIC,rear,4,35,23,3916,37500
BMW,3 Series,330,2015,300,6,AUTOMATIC,rear,4,32,21,3916,43750
BMW,3 Series,163,2015,180,4,AUTOMATIC,rear,4,45,32,3916,39000
BMW,3 Series,33,2015,240,4,AUTOMATIC,full,4,33,22,3916,39500
BMW,3 Series,270,2015,240,4,AUTOMATIC,full,4,33,22,3916,39500
BMW,3 Series,170,2015,180,4,AUTOMATIC,full,4,35,23,3916,34950
BMW,3 Series,265,2015,300,6,AUTOMATIC,full,4,30,20,3916,45750
BMW,3 Series,220,2015,180,4,AUTOMATIC,full,4,43,31,3916,43450
BMW,3 Series,78,2015,240,4,AUTOMATIC,rear,4,35,23,3916,37500
BMW,3 Series,5,2015,180,4,AUTOMATIC,full,4,43,31,3916,41000
BMW,3 Series,30,2015,180,4,AUTOMATIC,rear,4,36,24,3916,32950
BMW,3 Series,2,2016,180,4,AUTOMATIC,full,4,40,30,3916,41850
BMW,3 Series,180,2016,320,6,AUTOMATIC,full,4,33,22,3916,47800
BMW,3 Series,298,2016,180,4,AUTOMATIC,rear,4,42,32,3916,39850
BMW,3 Series,303,2016,240,4,AUTOMATIC,rear,4,34,22,3916,38350
BMW,3 Series,1,2016,240,4,AUTOMATIC,full,4,34,22,3916,40350
BMW,3 Series,5,2016,240,4,MANUAL,rear,4,34,22,3916,38350
BMW,3 Series,240,2016,240,4,AUTOMATIC,full,4,34,22,3916,42650
BMW,3 Series,270,2016,180,4,AUTOMATIC,rear,4,36,24,3916,33150
BMW,3 Series,236,2016,180,4,AUTOMATIC,full,4,35,23,3916,35150
BMW,3 Series,225,2016,180,4,AUTOMATIC,full,4,40,30,3916,44150
BMW,3 Series,335,2016,320,6,AUTOMATIC,rear,4,33,22,3916,45800
BMW,3 Series,152,2017,248,4,AUTOMATIC,rear,4,34,23,3916,38750
BMW,3 Series,205,2017,180,4,AUTOMATIC,full,4,34,23,3916,35450
BMW,3 Series,184,2017,180,4,AUTOMATIC,rear,4,35,23,3916,33450
BMW,3 Series,206,2017,248,4,AUTOMATIC,full,4,33,23,3916,40750
BMW,3 Series,233,2017,180,4,AUTOMATIC,full,4,40,30,3916,42250
BMW,3 Series,72,2017,248,4,AUTOMATIC,full,4,33,23,3916,42950
BMW,3 Series,0,2017,180,4,AUTOMATIC,rear,4,42,32,3916,40250
BMW,3 Series,328,2017,320,6,AUTOMATIC,full,4,31,21,3916,49900
BMW,3 Series,98,2017,320,6,AUTOMATIC,rear,4,32,21,3916,47900
BMW,3 Series,98,2017,180,4,AUTOMATIC,full,4,40,30,3916,44450
BMW,3 Series Gran Turismo,630,2015,300,6,AUTOMATIC,full,4,30,20,3916,47250
BMW,3 Series Gran Turismo,850,2015,240,4,AUTOMATIC,full,4,33,22,3916,41850
BMW,3 Series Gran Turismo,147,2015,240,4,AUTOMATIC,full,4,33,22,3916,41850
BMW,3 Series Gran Turismo,82,2016,240,4,AUTOMATIC,full,4,34,22,3916,43000
BMW,3 Series Gran Turismo,250,2016,300,6,AUTOMATIC,full,4,30,20,3916,49200
BMW,3 Series Gran Turismo,30,2017,320,6,AUTOMATIC,full,4,30,20,3916,49650
BMW,3 Series Gran Turismo,260,2017,248,4,AUTOMATIC,full,4,33,23,3916,43950
BMW,4 Series,186,2015,300,6,AUTOMATIC,full,2,29,20,3916,56900
BMW,4 Series,240,2015,300,6,AUTOMATIC,rear,2,32,21,3916,46250
BMW,4 Series,1,2015,240,4,AUTOMATIC,full,2,33,21,3916,50750
BMW,4 Series,30,2015,240,4,AUTOMATIC,full,2,33,22,3916,42750
BMW,4 Series,260,2015,240,4,AUTOMATIC,rear,2,34,23,3916,48750
BMW,4 Series,186,2015,300,6,AUTOMATIC,full,2,30,20,3916,48250
BMW,4 Series,240,2015,240,4,AUTOMATIC,full,2,33,22,3916,42750
BMW,4 Series,1,2015,240,4,AUTOMATIC,full,2,33,21,3916,50750
BMW,4 Series,130,2015,240,4,AUTOMATIC,rear,2,35,23,3916,40750
BMW,4 Series,250,2015,300,6,AUTOMATIC,rear,2,31,20,3916,54900
BMW,4 Series,221,2015,240,4,AUTOMATIC,rear,2,34,23,3916,48750
BMW,4 Series,312,2015,240,4,AUTOMATIC,rear,2,35,23,3916,40750
BMW,4 Series,110,2016,240,4,AUTOMATIC,full,2,33,21,3916,52000
BMW,4 Series,131,2016,240,4,AUTOMATIC,rear,2,34,23,3916,50000
BMW,4 Series,157,2016,240,4,MANUAL,rear,2,34,22,3916,41850
BMW,4 Series,272,2016,300,6,AUTOMATIC,full,2,30,20,3916,50150
BMW,4 Series,189,2016,240,4,AUTOMATIC,rear,2,35,23,3916,41850
BMW,4 Series,180,2016,300,6,AUTOMATIC,full,2,29,20,3916,58950
BMW,4 Series,243,2016,240,4,AUTOMATIC,full,2,34,22,3916,43850
BMW,4 Series,130,2016,300,6,AUTOMATIC,rear,2,31,20,3916,48150
BMW,4 Series,134,2016,300,6,AUTOMATIC,rear,2,31,20,3916,56950
BMW,4 Series,170,2017,248,4,AUTOMATIC,rear,2,34,23,3916,50300
BMW,4 Series,114,2017,248,4,AUTOMATIC,full,2,32,22,3916,52300
BMW,4 Series,80,2017,320,6,AUTOMATIC,full,2,31,21,3916,50500
BMW,4 Series,216,2017,248,4,AUTOMATIC,full,2,33,23,3916,44150
BMW,4 Series,16,2017,248,4,AUTOMATIC,rear,2,34,23,3916,42150
BMW,4 Series,295,2017,320,6,AUTOMATIC,full,2,30,20,3916,59300
BMW,4 Series,304,2017,320,6,AUTOMATIC,rear,2,29,21,3916,57300
BMW,4 Series,260,2017,320,6,AUTOMATIC,rear,2,32,21,3916,48500
BMW,4 Series Gran Coupe,33,2015,240,4,AUTOMATIC,full,4,33,22,3916,42300
BMW,4 Series Gran Coupe,117,2015,240,4,AUTOMATIC,rear,4,34,23,3916,40300
BMW,4 Series Gran Coupe,148,2015,240,4,AUTOMATIC,rear,4,34,23,3916,40300
BMW,4 Series Gran Coupe,268,2015,240,4,AUTOMATIC,full,4,33,22,3916,42300
BMW,4 Series Gran Coupe,130,2015,300,6,AUTOMATIC,rear,4,32,21,3916,45800
BMW,4 Series Gran Coupe,42,2015,300,6,AUTOMATIC,full,4,31,20,3916,47800
BMW,4 Series Gran Coupe,62,2016,240,4,AUTOMATIC,full,4,34,22,3916,43650
BMW,4 Series Gran Coupe,230,2016,300,6,AUTOMATIC,full,4,30,20,3916,49950
BMW,4 Series Gran Coupe,110,2016,300,6,AUTOMATIC,rear,4,31,20,3916,47950
BMW,4 Series Gran Coupe,25,2016,240,4,AUTOMATIC,rear,4,34,23,3916,41650
BMW,4 Series Gran Coupe,230,2017,320,6,AUTOMATIC,rear,4,32,21,3916,48300
BMW,4 Series Gran Coupe,200,2017,320,6,AUTOMATIC,full,4,31,21,3916,50300
BMW,4 Series Gran Coupe,299,2017,248,4,AUTOMATIC,full,4,33,23,3916,43950
BMW,4 Series Gran Coupe,266,2017,248,4,AUTOMATIC,rear,4,34,23,3916,41950
BMW,5 Series,262,2015,443,8,AUTOMATIC,full,4,25,16,3916,67200
BMW,5 Series,365,2015,302,6,AUTOMATIC,full,4,29,20,3916,57900
BMW,5 Series,25,2015,255,6,AUTOMATIC,rear,4,38,26,3916,57100
BMW,5 Series,241,2015,241,4,AUTOMATIC,full,4,33,22,3916,52250
BMW,5 Series,108,2015,255,6,AUTOMATIC,full,4,37,26,3916,59400
BMW,5 Series,370,2015,443,8,AUTOMATIC,rear,4,25,17,3916,64900
BMW,5 Series,8,2015,241,4,AUTOMATIC,rear,4,34,23,3916,49950
BMW,5 Series,270,2015,302,6,AUTOMATIC,rear,4,31,20,3916,55600
BMW,5 Series,5,2016,255,6,AUTOMATIC,rear,4,38,26,3916,57350
BMW,5 Series,320,2016,302,6,AUTOMATIC,full,4,29,20,3916,58150
BMW,5 Series,255,2016,302,6,AUTOMATIC,rear,4,31,20,3916,55850
BMW,5 Series,320,2016,240,4,AUTOMATIC,full,4,34,22,3916,52500
BMW,5 Series,170,2016,240,4,AUTOMATIC,rear,4,34,23,3916,50200
BMW,5 Series,37,2016,443,8,AUTOMATIC,full,4,25,16,3916,68600
BMW,5 Series,160,2016,443,8,AUTOMATIC,rear,4,25,17,3916,66300
BMW,5 Series,116,2016,255,6,AUTOMATIC,full,4,37,26,3916,59650
BMW,5 Series Gran Turismo,200,2015,300,6,AUTOMATIC,rear,4,28,19,3916,60700
BMW,5 Series Gran Turismo,170,2015,445,8,AUTOMATIC,full,4,24,16,3916,71400
BMW,5 Series Gran Turismo,230,2015,300,6,AUTOMATIC,full,4,26,18,3916,63000
BMW,5 Series Gran Turismo,246,2015,445,8,AUTOMATIC,rear,4,25,16,3916,69100
BMW,5 Series Gran Turismo,245,2016,300,6,AUTOMATIC,full,4,26,18,3916,63200
BMW,5 Series Gran Turismo,58,2016,445,8,AUTOMATIC,full,4,24,16,3916,72500
BMW,5 Series Gran Turismo,5,2016,300,6,AUTOMATIC,rear,4,28,19,3916,60900
BMW,5 Series Gran Turismo,95,2017,300,6,AUTOMATIC,full,4,26,18,3916,63200
BMW,5 Series Gran Turismo,5,2017,300,6,AUTOMATIC,rear,4,27,19,3916,60900
BMW,5 Series Gran Turismo,200,2017,445,8,AUTOMATIC,full,4,24,15,3916,72500
BMW,6 Series,115,2015,445,8,AUTOMATIC,rear,2,25,17,3916,94900
BMW,6 Series,188,2015,315,6,AUTOMATIC,full,2,29,20,3916,86600
BMW,6 Series,137,2015,315,6,AUTOMATIC,full,2,29,20,3916,79100
BMW,6 Series,80,2015,315,6,AUTOMATIC,rear,2,32,21,3916,76100
BMW,6 Series,0,2015,445,8,AUTOMATIC,full,2,25,16,3916,90400
BMW,6 Series,0,2015,315,6,AUTOMATIC,rear,2,31,20,3916,83600
BMW,6 Series,268,2015,445,8,AUTOMATIC,rear,2,25,17,3916,87400
BMW,6 Series,45,2015,445,8,AUTOMATIC,full,2,24,16,3916,97900
BMW,6 Series,7,2016,315,6,AUTOMATIC,full,2,29,20,3916,87800
BMW,6 Series,258,2016,315,6,AUTOMATIC,rear,2,31,20,3916,77300
BMW,6 Series,102,2016,445,8,AUTOMATIC,full,2,24,15,3916,99200
BMW,6 Series,438,2016,445,8,AUTOMATIC,rear,2,25,17,3916,96200
BMW,6 Series,230,2016,315,6,AUTOMATIC,full,2,29,20,3916,80300
BMW,6 Series,245,2016,315,6,AUTOMATIC,rear,2,31,20,3916,84800
BMW,6 Series,227,2016,445,8,AUTOMATIC,full,2,25,16,3916,91700
BMW,6 Series,160,2016,445,8,AUTOMATIC,rear,2,25,17,3916,88700
BMW,6 Series,1,2017,445,8,AUTOMATIC,full,2,24,16,3916,92000
BMW,6 Series,59,2017,315,6,AUTOMATIC,rear,2,30,21,3916,77600
BMW,6 Series,73,2017,445,8,AUTOMATIC,rear,2,24,17,3916,89000
BMW,6 Series,11,2017,315,6,AUTOMATIC,full,2,28,19,3916,80600
BMW,6 Series,277,2017,315,6,AUTOMATIC,rear,2,29,20,3916,85100
BMW,6 Series,288,2017,315,6,AUTOMATIC,full,2,28,19,3916,88100
BMW,6 Series,280,2017,445,8,AUTOMATIC,rear,2,24,17,3916,96500
BMW,6 Series,350,2017,445,8,AUTOMATIC,full,2,24,15,3916,99500
BMW,6 Series Gran Coupe,380,2015,445,8,AUTOMATIC,full,4,24,16,3916,92600
BMW,6 Series Gran Coupe,274,2015,315,6,AUTOMATIC,full,4,29,20,3916,81300
BMW,6 Series Gran Coupe,270,2015,315,6,AUTOMATIC,rear,4,31,20,3916,78300
BMW,6 Series Gran Coupe,140,2015,445,8,AUTOMATIC,rear,4,25,17,3916,89600
BMW,6 Series Gran Coupe,200,2016,445,8,AUTOMATIC,full,4,24,15,3916,93900
BMW,6 Series Gran Coupe,128,2016,315,6,AUTOMATIC,full,4,29,20,3916,82500
BMW,6 Series Gran Coupe,79,2016,445,8,AUTOMATIC,rear,4,25,17,3916,90900
BMW,6 Series Gran Coupe,300,2016,315,6,AUTOMATIC,rear,4,31,20,3916,79500
BMW,6 Series Gran Coupe,237,2017,445,8,AUTOMATIC,rear,4,24,17,3916,91200
BMW,6 Series Gran Coupe,1,2017,315,6,AUTOMATIC,full,4,28,19,3916,82800
BMW,6 Series Gran Coupe,185,2017,445,8,AUTOMATIC,full,4,24,15,3916,94200
BMW,6 Series Gran Coupe,267,2017,315,6,AUTOMATIC,rear,4,29,20,3916,79800
BMW,7 Series,290,2015,535,12,AUTOMATIC,rear,4,20,13,3916,141200
BMW,7 Series,275,2015,315,6,AUTOMATIC,rear,4,29,19,3916,78000
BMW,7 Series,380,2015,445,8,AUTOMATIC,rear,4,25,16,3916,91000
BMW,7 Series,170,2015,445,8,AUTOMATIC,full,4,24,16,3916,94000
BMW,7 Series,69,2015,315,6,AUTOMATIC,full,4,28,19,3916,81000
BMW,7 Series,242,2015,315,6,AUTOMATIC,rear,4,29,19,3916,74000
BMW,7 Series,121,2015,445,8,AUTOMATIC,rear,4,25,17,3916,87300
BMW,7 Series,225,2015,445,8,AUTOMATIC,full,4,24,16,3916,90300
BMW,7 Series,335,2015,255,6,AUTOMATIC,full,4,31,23,3916,82500
BMW,7 Series,152,2016,445,8,AUTOMATIC,rear,4,25,17,3916,94400
BMW,7 Series,205,2016,320,6,AUTOMATIC,rear,4,29,21,3916,81300
BMW,7 Series,184,2016,445,8,AUTOMATIC,full,4,25,16,3916,97400
BMW,7 Series,206,2017,445,8,AUTOMATIC,rear,4,26,17,3916,94600
BMW,7 Series,233,2017,445,8,AUTOMATIC,full,4,25,16,3916,97600
BMW,7 Series,72,2017,320,6,AUTOMATIC,full,4,28,19,3916,84500
BMW,7 Series,0,2017,320,6,AUTOMATIC,rear,4,29,21,3916,81500
BMW,8 Series,328,1995,282,8,AUTOMATIC,rear,2,22,15,3916,4784
BMW,8 Series,98,1995,322,12,AUTOMATIC,rear,2,19,12,3916,5858
BMW,8 Series,98,1995,372,12,MANUAL,rear,2,18,10,3916,8488
BMW,8 Series,630,1996,322,12,AUTOMATIC,rear,2,19,12,3916,6954
BMW,8 Series,850,1996,282,8,AUTOMATIC,rear,2,19,14,3916,5680
BMW,8 Series,147,1997,322,12,AUTOMATIC,rear,2,19,12,3916,7624
BMW,8 Series,82,1997,282,8,AUTOMATIC,rear,2,19,14,3916,6693
BMW,ActiveHybrid 5,250,2014,335,6,AUTOMATIC,rear,4,30,23,3916,61400
BMW,ActiveHybrid 5,230,2015,335,6,AUTOMATIC,rear,4,30,23,3916,61900
BMW,ActiveHybrid 5,71,2016,335,6,AUTOMATIC,rear,4,30,23,3916,62100
BMW,ActiveHybrid 7,260,2013,350,6,AUTOMATIC,rear,4,30,22,3916,84300
BMW,ActiveHybrid 7,1,2014,350,6,AUTOMATIC,rear,4,30,22,3916,84300
BMW,ActiveHybrid 7,158,2015,335,6,AUTOMATIC,rear,4,30,22,3916,84300
BMW,ActiveHybrid X6,254,2010,480,8,AUTOMATIC,full,4,19,17,3916,88900
BMW,ActiveHybrid X6,250,2011,480,8,AUTOMATIC,full,4,19,17,3916,88900
BMW,Alpina,230,2003,375,8,AUTOMATIC,rear,2,19,13,3916,136900
BMW,ALPINA B6 Gran Coupe,213,2015,540,8,AUTOMATIC,full,4,24,16,3916,117300
BMW,ALPINA B6 Gran Coupe,160,2016,600,8,AUTOMATIC,full,4,24,15,3916,122200
BMW,ALPINA B6 Gran Coupe,242,2017,600,8,AUTOMATIC,full,4,24,15,3916,122500
BMW,ALPINA B7,250,2014,540,8,AUTOMATIC,full,4,24,16,3916,135200
BMW,ALPINA B7,237,2014,540,8,AUTOMATIC,rear,4,25,16,3916,132200
BMW,ALPINA B7,182,2014,540,8,AUTOMATIC,full,4,24,16,3916,131300
BMW,ALPINA B7,221,2014,540,8,AUTOMATIC,rear,4,25,16,3916,128300
BMW,ALPINA B7,221,2015,540,8,AUTOMATIC,rear,4,25,16,3916,132200
BMW,ALPINA B7,106,2015,540,8,AUTOMATIC,full,4,24,16,3916,131300
BMW,ALPINA B7,300,2015,540,8,AUTOMATIC,full,4,24,16,3916,135200
BMW,ALPINA B7,245,2015,540,8,AUTOMATIC,rear,4,25,16,3916,128300
BMW,ALPINA B7,0,2017,600,8,AUTOMATIC,full,4,24,16,3916,137000
BMW,i3,1,2015,170,0,DIRECT_DRIVE,rear,4,111,137,3916,42400
BMW,i3,250,2016,170,0,DIRECT_DRIVE,rear,4,111,137,3916,42400
BMW,i3,225,2017,170,0,DIRECT_DRIVE,rear,4,111,137,3916,42400
BMW,i3,1,2017,170,0,DIRECT_DRIVE,rear,4,106,129,3916,43600
BMW,M,296,2001,315,6,MANUAL,rear,2,23,15,3916,44990
BMW,M,158,2001,315,6,MANUAL,rear,2,23,15,3916,45990
BMW,M,256,2002,315,6,MANUAL,rear,2,25,17,3916,44990
BMW,M,256,2006,330,6,MANUAL,rear,2,22,14,3916,49300
BMW,M,150,2006,330,6,MANUAL,rear,2,22,14,3916,51300
BMW,M2,23,2016,365,6,MANUAL,rear,2,26,18,3916,51700
BMW,M2,110,2017,365,6,MANUAL,rear,2,26,18,3916,51700
BMW,M3,304,2015,425,6,MANUAL,rear,4,26,17,3916,62000
BMW,M3,265,2016,425,6,MANUAL,rear,4,26,17,3916,63500
BMW,M3,300,2017,425,6,MANUAL,rear,4,26,17,3916,64000
BMW,M4,44,2015,425,6,MANUAL,rear,2,26,17,3916,64200
BMW,M4,360,2015,425,6,MANUAL,rear,2,26,17,3916,72500
BMW,M4,252,2016,425,6,MANUAL,rear,2,26,17,3916,74200
BMW,M4,259,2016,425,6,MANUAL,rear,2,26,17,3916,65700
BMW,M4,333,2017,425,6,MANUAL,rear,2,26,17,3916,74700
BMW,M4,17,2017,425,6,MANUAL,rear,2,26,17,3916,66200
BMW,M4 GTS,227,2016,493,6,AUTOMATED_MANUAL,rear,2,23,16,3916,133205
BMW,M5,267,2014,552,8,AUTOMATED_MANUAL,rear,4,20,14,3916,92900
BMW,M5,368,2015,560,8,AUTOMATED_MANUAL,rear,4,20,14,3916,93600
BMW,M5,86,2016,560,8,AUTOMATED_MANUAL,rear,4,20,14,3916,94100
BMW,M6,250,2015,560,8,AUTOMATED_MANUAL,rear,2,20,14,3916,118200
BMW,M6,170,2015,560,8,AUTOMATED_MANUAL,rear,2,20,14,3916,111900
BMW,M6,150,2016,552,8,AUTOMATED_MANUAL,rear,2,20,14,3916,119700
BMW,M6,142,2016,552,8,AUTOMATED_MANUAL,rear,2,20,14,3916,113400
BMW,M6,100,2017,560,8,AUTOMATED_MANUAL,rear,2,20,14,3916,113700
BMW,M6,200,2017,560,8,AUTOMATED_MANUAL,rear,2,22,15,3916,120000
BMW,M6 Gran Coupe,263,2015,560,8,AUTOMATED_MANUAL,rear,4,20,14,3916,115700
BMW,M6 Gran Coupe,110,2016,552,8,AUTOMATED_MANUAL,rear,4,20,14,3916,117200
BMW,M6 Gran Coupe,256,2017,560,8,AUTOMATED_MANUAL,rear,4,20,14,3916,117500
BMW,X1,10,2015,240,4,AUTOMATIC,rear,4,34,23,3916,31200
BMW,X1,162,2015,240,4,AUTOMATIC,full,4,32,22,3916,33000
BMW,X1,52,2015,300,6,AUTOMATIC,full,4,27,18,3916,39100
BMW,X1,181,2016,228,4,AUTOMATIC,full,4,32,22,3916,34800
BMW,X1,87,2017,228,4,AUTOMATIC,front wheel drive,4,32,23,3916,33100
BMW,X1,89,2017,228,4,AUTOMATIC,full,4,31,22,3916,35100
BMW,X3,280,2015,300,6,AUTOMATIC,full,4,26,19,3916,45500
BMW,X3,74,2015,240,4,AUTOMATIC,full,4,28,21,3916,40500
BMW,X3,35,2015,180,4,AUTOMATIC,full,4,34,27,3916,42000
BMW,X3,1,2015,240,4,AUTOMATIC,rear,4,28,21,3916,38500
BMW,X3,205,2016,240,4,AUTOMATIC,rear,4,28,21,3916,38950
BMW,X3,47,2016,300,6,AUTOMATIC,full,4,27,19,3916,46800
BMW,X3,45,2016,240,4,AUTOMATIC,full,4,28,21,3916,40950
BMW,X3,1,2016,180,4,AUTOMATIC,full,4,34,27,3916,42450
BMW,X3,130,2017,180,4,AUTOMATIC,full,4,34,27,3916,42750
BMW,X3,85,2017,300,6,AUTOMATIC,full,4,26,19,3916,47950
BMW,X3,117,2017,240,4,AUTOMATIC,full,4,28,21,3916,41250
BMW,X3,165,2017,240,4,AUTOMATIC,rear,4,28,21,3916,39250
BMW,X4,425,2015,240,4,AUTOMATIC,full,4,28,20,3916,44700
BMW,X4,97,2015,300,6,AUTOMATIC,full,4,27,19,3916,48000
BMW,X4,270,2016,360,6,AUTOMATIC,full,4,25,18,3916,57800
BMW,X4,67,2016,240,4,AUTOMATIC,full,4,28,20,3916,45250
BMW,X4,200,2016,300,6,AUTOMATIC,full,4,27,19,3916,49700
BMW,X4,186,2017,355,6,AUTOMATIC,full,4,26,19,3916,58100
BMW,X4,190,2017,240,4,AUTOMATIC,full,4,28,20,3916,45550
BMW,X5,200,2015,255,6,AUTOMATIC,full,4,31,24,3916,57700
BMW,X5,30,2015,300,6,AUTOMATIC,rear,4,27,19,3916,53900
BMW,X5,218,2015,300,6,AUTOMATIC,full,4,27,18,3916,56200
BMW,X5,311,2015,445,8,AUTOMATIC,full,4,22,15,3916,70100
BMW,X5,1,2016,300,6,AUTOMATIC,full,4,24,18,3916,57000
BMW,X5,83,2016,445,8,AUTOMATIC,full,4,21,15,3916,71500
BMW,X5,203,2016,255,6,AUTOMATIC,full,4,30,23,3916,57700
BMW,X5,220,2016,300,6,AUTOMATIC,rear,4,25,18,3916,54700
BMW,X5,448,2017,300,6,AUTOMATIC,full,4,24,18,3916,57800
BMW,X5,160,2017,300,6,AUTOMATIC,rear,4,25,18,3916,55500
BMW,X5,175,2017,255,6,AUTOMATIC,full,4,30,23,3916,59300
BMW,X5,200,2017,445,8,AUTOMATIC,full,4,21,15,3916,72300
BMW,X5 M,287,2015,567,8,AUTOMATIC,full,4,19,14,3916,98700
BMW,X5 M,93,2016,567,8,AUTOMATIC,full,4,19,14,3916,98800
BMW,X5 M,150,2017,567,8,AUTOMATIC,full,4,19,14,3916,98800
BMW,X6,254,2015,300,6,AUTOMATIC,full,4,27,18,3916,61900
BMW,X6,300,2015,445,8,AUTOMATIC,full,4,22,15,3916,72900
BMW,X6,56,2015,300,6,AUTOMATIC,rear,4,27,19,3916,59600
BMW,X6,4,2016,300,6,AUTOMATIC,full,4,24,18,3916,62900
BMW,X6,330,2016,300,6,AUTOMATIC,rear,4,25,18,3916,60600
BMW,X6,390,2016,445,8,AUTOMATIC,full,4,21,15,3916,75300
BMW,X6,45,2017,300,6,AUTOMATIC,rear,4,25,18,3916,61400
BMW,X6,377,2017,445,8,AUTOMATIC,full,4,21,15,3916,76100
BMW,X6,340,2017,300,6,AUTOMATIC,full,4,24,18,3916,63700
BMW,X6 M,235,2015,567,8,AUTOMATIC,full,4,19,14,3916,102100
BMW,X6 M,260,2016,567,8,AUTOMATIC,full,4,19,14,3916,102200
BMW,X6 M,200,2017,567,8,AUTOMATIC,full,4,19,14,3916,102200
BMW,Z3,280,2000,193,6,MANUAL,rear,2,24,17,3916,4976
BMW,Z3,307,2000,193,6,MANUAL,rear,2,24,17,3916,4697
BMW,Z3,160,2000,170,6,MANUAL,rear,2,25,17,3916,4755
BMW,Z3,231,2001,225,6,MANUAL,rear,2,26,19,3916,37900
BMW,Z3,203,2001,184,6,MANUAL,rear,2,25,18,3916,31300
BMW,Z3,300,2001,225,6,MANUAL,rear,2,26,19,3916,37700
BMW,Z3,1,2002,225,6,MANUAL,rear,2,26,19,3916,37900
BMW,Z3,1,2002,184,6,MANUAL,rear,2,25,18,3916,31300
BMW,Z3,253,2002,225,6,MANUAL,rear,2,26,19,3916,37700
BMW,Z4,160,2014,240,4,MANUAL,rear,2,34,22,3916,48950
BMW,Z4,130,2014,300,6,MANUAL,rear,2,26,19,3916,56950
BMW,Z4,160,2014,335,6,AUTOMATED_MANUAL,rear,2,24,17,3916,65800
BMW,Z4,140,2015,240,4,MANUAL,rear,2,34,22,3916,48950
BMW,Z4,40,2015,300,6,AUTOMATED_MANUAL,rear,2,24,17,3916,56950
BMW,Z4,223,2015,335,6,AUTOMATED_MANUAL,rear,2,24,17,3916,65800
BMW,Z4,290,2016,300,6,AUTOMATED_MANUAL,rear,2,24,17,3916,57500
BMW,Z4,287,2016,240,4,MANUAL,rear,2,34,22,3916,49700
BMW,Z4,300,2016,335,6,AUTOMATED_MANUAL,rear,2,24,17,3916,66350
BMW,Z4 M,5,2007,330,6,MANUAL,rear,2,22,15,3916,50100
